original_value,real_value_english,real_value_french,code_value
annually,annually,annuel,RI_539
Annually,annually,annuel,RI_539
As needed,asNeeded,auBesoin,RI_540
asNeeded,asNeeded,auBesoin,RI_540
biannually,biannually,semestriel,RI_538
continual,continual,continue,RI_532
Continually,continual,continue,RI_532
daily,daily,quotidien,RI_533
fortnightly,fortnightly,quinzomadaire,RI_535
irregular,irregular,irrégulier,RI_541
monthly,monthly,mensuel,RI_536
Monthly,monthly,mensuel,RI_536
None planned,notPlanned,nonPlanifié,RI_542
notPlanned,notPlanned,nonPlanifié,RI_542
quarterly,quarterly,trimestriel,RI_537
Quarterly,quarterly,trimestriel,RI_537
semimonthly,semimonthly,bimensuel,RI_544
unknown,unknown,inconnu,RI_543
weekly,weekly,hebdomadaire,RI_534
