resources_url,resources_language
https://open.alberta.ca/dataset/6bac5dab-8c85-4c24-9216-9ae6b98956cc/resource/8857d9d1-9e5e-481f-91e0-e3b2b2583f26/download/alberta-driving-distance-matrix.csv,english
https://open.alberta.ca/dataset/26890e1e-c67a-4759-a213-022b40203bc7/resource/f055baec-7dc6-4115-a5e3-df0fd5624376/download/ggisdatadatapackagesentapr2016tomar2017opendata201610testingpnfplainsnorthernfoothills.zip,english
https://open.alberta.ca/dataset/fbec60b9-55d9-4aed-a541-8d6199fdfe7a/resource/a8a22ff0-cb9a-4a64-88ed-0dffd9345e88/download/twpid-to-csd-2016.xlsx,english
https://open.alberta.ca/opendata/6bac5dab-8c85-4c24-9216-9ae6b98956cc,english
https://open.alberta.ca/opendata/fbec60b9-55d9-4aed-a541-8d6199fdfe7a,english
https://open.alberta.ca/opendata/26890e1e-c67a-4759-a213-022b40203bc7,english
http://open.alberta.ca/documentation/beyond-20-20-ivt-browser-simplified-user-guide,english
http://www.beyond2020.com/Alberta/ProBrowser71En.msi,english
https://open.alberta.ca/dataset/304d8f0e-85f2-4ed1-9c4e-c87e9ea4acc5/resource/3f938546-5e20-4568-8fa5-97901fdbf6fa/download/mefposinumofemployeeswageagesexedufirmsizeindustryabpopcentresra2015-10-30.zip,english
https://open.alberta.ca/opendata/304d8f0e-85f2-4ed1-9c4e-c87e9ea4acc5,english
