TBS_ATTRIBUTES,FEATURE_ATTRIBUTES,SECTION
notes_en,notes,ROOT
notes_fr,notes_fr,ROOT
org_name,sector,ROOT
jurisdiction,jurisdiction,ROOT
position_name_fr,sector,ROOT
position_name_en,sector,ROOT
update_frequency_tbs,resource_update_cycle,ROOT
data_collection_start_date,data_collection_start_date,ROOT
data_collection_end_date,data_collection_end_date,ROOT
id,id,ROOT;RESOURCES
title_fr,title_fr,ROOT
title_en,title,ROOT
source_metadata_date_created,record_create_date,ROOT
email,contacts{0}.email,ROOT
date_published,record_publish_date,ROOT
tbs_license_id,tbs_license_id,ROOT
tbs_imso_approval,tbs_imso_approval,ROOT
tbs_ready_to_publish,tbs_ready_to_publish,ROOT
prov_portal_last_modified,record_last_modified,ROOT
tbs_hierarchy_level,tbs_hierarchy_level,ROOT
tbs_owner_org_id,tbs_owner_org_id,ROOT
p-t_entity_fr,p-t_entity_fr,ROOT
p-t_entity_en,p-t_entity,ROOT
metadata_contact_fr,sector,ROOT
metadata_contact_en,sector,ROOT
tbs_collection,tbs_collection,ROOT
tbs_responsible_role,tbs_responsible_role,ROOT
tbs_restriction,tbs_restriction,ROOT
tbs_type,tbs_type,ROOT
tbs_state,tbs_state,ROOT
keywords_fr,tags{}.display_name_fr,ROOT
keywords_en,tags{}.display_name_en,ROOT
TBS_subject,subjects{}.topic_value,ROOT
TBS_topic,topics{}.topic_value,ROOT
url,resources{}.url,RESOURCES
resname_fr,resources{}.name_fr,RESOURCES
resname_en,resources{}.name,RESOURCES
resname_en_tag,resname_en_tag,RESOURCES
resname_fr_tag,resname_fr_tag,RESOURCES
format_resourceType_en,resources{}.format_resourceType_en,RESOURCES
format,resources{}.format,RESOURCES
notes_en_tag,notes_en_tag,ROOT
notes_fr_tag,notes_fr_tag,ROOT
position_en_tag,position_en_tag,ROOT
position_fr_tag,position_fr_tag,ROOT
keyword_en_tag,keyword_en_tag,ROOT
keyword_fr_tag,keyword_fr_tag,ROOT
title_en_tag,title_en_tag,ROOT
title_fr_tag,title_fr_tag,ROOT
org_title_en_tag,org_title_en_tag,ROOT
org_title_fr_tag,org_title_fr_tag,ROOT
metadata_contact_en_tag,metadata_contact_en_tag,ROOT
metadata_contact_fr_tag,metadata_contact_fr_tag,ROOT
resource_language,resources{}.language,RESOURCES
contact_form_en,contact_form,ROOT
contact_form_fr,contact_form,ROOT
