id,spatial_representation_type
01164c08-450c-4d66-8291-1ba018f2fc1c,vector
020f71ed-a2de-4f6f-a3e6-fe93865ffc33,vector
03dbd872-5b9d-4513-86e5-39a14cc2dfee,vector
049b70df-6011-4e82-ab7d-bd2ad3215bce,vector
0a469551-8e68-41b8-8a00-20d708d5d3a2,vector
0cd8aae3-f499-4227-90bb-a26fe377ea88,vector
0e7090c1-59de-4670-929e-23592ca984ce,vector
1162f2bf-6a89-4432-b598-7763378cd552,vector
13283637-2bf4-42c6-9c0f-2851ad845cdb,vector
15543ed6-2057-4f1f-88f9-d97b5c31e2c1,vector
15fa1008-44e5-466f-ad2a-e75e92347114,vector
1a688bc3-b2e7-4b06-bd7e-4b713762b754,vector
1d1376c6-8bf8-4c3a-a87e-6b176d8c6a39,vector
1dc55fe9-40e0-43e8-b1c3-ca27588fbee2,vector
25460f33-cba1-423d-80ea-b46064a4b246,vector
25f1b41a-0752-48dd-9f6a-63c0a0ff6d47,vector
27483c7c-8668-484a-a5cf-30e9c7ca2cb1,vector
3652ce6c-93a2-42e4-8074-64aa861eb1f0,vector
2ebfa295-c51a-467c-8c38-823f27ed2a15,vector
32bcd40b-6071-46d5-9a5e-ded3e9908604,vector
3545e67c-ac9a-49bc-af5f-e9d16cd347b2,vector
37201bbc-ffd2-47c7-b17a-569cd85db731,vector
38b8081a-cacb-4c57-9e6f-f140a4b0590d,vector
3ac9c158-2a4f-49c4-a418-834692599d56,vector
43247aaf-4560-4e79-b6e7-f2052081b5ba,vector
437a6486-04fd-4475-8301-39035e50bc72,vector
44dfb72c-73c0-4263-add8-1cd0686b22e8,vector
45dbaf52-c4c8-4e5d-89fe-d14cec62fc41,vector
4b0a7ea6-9e4e-4ea6-9449-8bea7509daae,vector
53918e0a-aaa4-4b3f-ad3c-300feea9bdbe,vector
55891c8b-1845-416c-be0d-2cb4011a9e17,vector
581b45bd-057e-4939-8428-064741af89a5,vector
59a0dc68-4bfe-42aa-9e19-0e81775f24d3,vector
5d45ed90-6af0-41ed-9317-a10e2bd5cd4b,vector
602acbc8-54f8-4161-bcff-164103539a51,vector
6e717e86-943a-489d-be85-8772a0fdc3c1,vector
6ee5418a-8f58-4570-9518-470f4751e95a,grid
71b19b67-6f62-46f9-aac8-f52bc6e66c8e,vector
722dcb80-74b6-4d72-9f47-61b0377ddeb7,vector
725c1724-c000-49aa-a8c4-db11723a858d,vector
73d49815-8e7b-4c48-9294-c267b0d72cfb,vector
74c14099-b6d2-42da-8dda-34d939f42423,vector
75b88dec-4060-40b8-8c37-bec0d5380e32,vector
7659d405-1612-4f9f-aa12-4c48390d0fec,vector
