license_id_value,fgp_publish
Access Only,non
Elections BC Open Data Licence,non
Open Data Commons - Public Domain Dedication and Licence,non
Open Data Licence for ICBC Information,non
Open Government Licence - BC Assessment,non
Open Government Licence - British Columbia,oui
Open Government Licence - Canada,non
Open Government Licence - Destination BC,non
Open Government Licence – Municipality of North Cowichan,non
Open Government Licence – TransLink,non
Queen's Printer Licence - British Columbia,non
King's Printer Licence - British Columbia,non
Statistics Canada Open Licence,non
Open Government Licence – Industry Training Authority,non
Open Government Licence - SkilledTradesBC,non
Open Data Licence - Office of the Registrar of Lobbyists for British Columbia,non
Open Licence - University of Northern British Columbia,non
