license_id_value,fgp_publish
"Manitoba Open Data License",oui
"Manitoba Open Data Licence",oui
"DISCLAIMER: For data delivered on-line or by physical media by the Manitoba Government: Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials. These data may be subject to periodic change without prior notification. No Warranty: These data are provided as is, without any warranty, including but not limited to any guarantee as to their performance, merchantability, or fitness for any particular purpose. Liability: The entire risk as to the results of the use of these data is assumed by the user. The Manitoba Government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it. The Manitoba Government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if the Manitoba Government has been advised of the possibility of such potential loss or damage.",oui
"Disclaimer: For data delivered on-line or by physical media by the Manitoba government: Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user. Manitoba government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it. Manitoba government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if Manitoba government has been advised of the possibility of such potential loss or damage.",oui
"Disclaimer: For data delivered on-line or by physical media by the Manitoba government: Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials. You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user. Manitoba government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it. Manitoba government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if Manitoba government has been advised of the possibility of such potential loss or damage.",oui
"Disclaimer: For data delivered on-line or by physical media by the Manitoba Government: Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user. Manitoba Government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it. Manitoba Government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if Manitoba Government has been advised of the possibility of such potential loss or damage.",oui
"Disclaimer: For data delivered on-line or by physical media by the Manitoba Government:Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user.Manitoba Government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it.Manitoba Government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if Manitoba Government has been advised of the possibility of such potential loss or damage.",oui
"Disclaimer:For data delivered online or by physical media by the Manitoba government: Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user. The Manitoba government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it. The Manitoba government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages, or third party claims resulting from the use of these data, even if the Manitoba government has been advised of the possibility of such potential loss or damage.",oui
"DISCLAIMER:For data delivered on-line or by physical media by the Manitoba Government:Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty, including but not limited to any guarantee as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user.The Manitoba Government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it.The Manitoba Government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if the Manitoba Government has been advised of the possibility of such potential loss or damage. ",oui
"DISCLAIMER:For data delivered on-line or by physical media by the Manitoba Government:Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user.The Manitoba Government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it.The Manitoba Government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if the Manitoba Government has been advised of the possibility of such potential loss or damage.",oui
