default_key,default_value
metadata_standard_version,HNAP ISO:19115 - 2003
dataset_title_other_lang_locale,#fra
abstract_other_lang_locale,#fra
progress_code,onGoing
graphic_link,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nb/nb.png
p-t_license,Open Government Licence - New Brunswick (http://www.snb.ca/e/2000/data-E.html)
p-t_license_fr,Licence du gouvernement ouvert - Nouveau-Brunswick (http://www.snb.ca/f/2000/data-F.html)
p-t_license_other_lang_locale,#fra
data_collection_start_date,0001-01-01
p-t_entity,Government of New Brunswick
p-t_entity_fr,Gouvernement du Nouveau-Brunswick
p-t_entity_other_lang_locale,#fra
contacts{0}.role,pointOfContact
contact_position_other_lang_locale,#fra
distribution_format_version,unknown
keyword_other_lang_locale,#fra
update_frequency,unknown
service_other_lang_locale,#fra
online_resource_link,https://gnb.socrata.com/
online_resource_protocol,HTTPS
online_resource_description_en,Open geographic data for the Province of New Brunswick
online_resource_description_locale,#fra
online_resource_description_fr,Données géographiques ouvertes pour la province du Nouveau-Brunswick
data_collection_end_date, 
contacts{0}.email,opendatadonneesouvertes@snb.ca
contact_email_other_lang_locale,#fra
transfer_option_name_other_lang_locale,#fra
default_domain_tag,New Brunswick data
transfer_desc_locale_default,eng
search_criteria_pycsw,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nb
default_east,-63.328871
default_west,-69.0534663
default_north,48.2206848
default_south,44.299667
default_projection_name,unknown
default_reference_system,unknown
default_projection_system_version,unknown
