tagname,language
"d'eau potable",fra
"listes d'employés",fra
aborginal labour force,eng
aboriginal identity,eng
aboriginal,eng
accident,eng
accidents,fra
accommodations and meals,eng
achèvements,fra
activity,eng
activité physique,fra
activités,fra
address ranges,eng
address,eng
admissions,eng
adresse,fra
adult psychological well- being,eng
affaires de traite de personnes,fra
age group,eng
age of mother,eng
age,eng
agression,eng
agrées,fra
air photo,eng
aircraft,eng
alcoholic beverages,eng
aliment,eng
allocations de retraite,fra
alzheimer's,eng
annual indicators,eng
annual,eng
année d'études,fra
année scolaire,fra
ans,fra
application,eng
apprenticeship program,eng
apprenticeship programs,eng
archives,eng
arrêts de travail,fra
assault,eng
assessment,eng
assistant professor,eng
associate professor,eng
autobus de passagers,eng
autochtones,fra
autres dépenses,fra
avantages non salariaux,fra
average expected useful life,eng
average hourly earnings,eng
average scores,eng
aéronefs,fra
baby,eng
base,eng
bassin versant,fra
bear,eng
bedrock,eng
besoins de l'entreprise,fra
bia,eng
bien-être psychologique adulte,fra
birth by month,eng
birth,eng
births,eng
body mass index,eng
boire de l'eau,fra
bois,fra
boissons alcoolisées,fra
boundaries,eng
building permits,eng
business needs,eng
business,eng
bébé,fra
cadastral,eng
cadastrale,fra
camion commercial,fra
canada mortgage and housing corporation,eng
canada,eng
canadian citizens,eng
cancer,fra
cannabis,fra
carburant diesel,fra
care of children,eng
care work,eng
carte,fra
cause de décès,fra
cause of death,eng
ccn,eng
cemeteries,eng
census,eng
central business district,eng
centre de service,fra
centre ville,fra
cerfs de virginie,fra
certaines statistiques de la criminalité,fra
chaleur,fra
champs de captage,fra
cimetières,fra
circonscription,eng
circulant,fra
citizenship,eng
citoyen canadien,fra
citoyenneté,fra
closures,eng
commerce de détail,fra
commerce de gros,fra
commercial rents,eng
commercial truck,eng
community boundaries,eng
completions,eng
components,eng
composantes,fra
compostage,fra
composting,eng
comptes publics,fra
comté,fra
congé,fra
conservation,eng
consommation,fra
consumer price index,eng
consumer,eng
coordinate transformations,eng
coordinates,eng
corporate registry,eng
correctional services,eng
cote altimétrique,fra
cotisations sociales patronales,fra
county,eng
couple families,eng
couples avec enfants,fra
couples with children,eng
covid-19,eng
crime and justice,eng
crime severity index,eng
crime statistics,fra
croissance démographique,fra
crown land,eng
csnb,eng
current smoker,eng
d'équipements de protection individuelle,fra
daily average hours,eng
daily or occasional,eng
death,eng
deaths,eng
deer,eng
demographic growth,eng
demographic,eng
density,eng
densité,fra
dependency,eng
diabetes,eng
diabète,fra
diesel fuel,eng
diseases of heart,eng
disposal of waste,eng
district scolaire,eng
district,eng
districts de services locaux,fra
diversity,eng
diversité,fra
divorce rates,eng
domaine d'étude,fra
downtown,eng
dpm,eng
drainage,eng
drillhole,eng
drivers exam,eng
dtm,eng
durée de vie utile moyenne prévue,fra
durée de vie utile,fra
déclarées par la police,fra
décès,fra
démographique,fra
dépendance,fra
dépenses alimentaires,fra
dépenses de recherche et développement,fra
dépenses des ménages,fra
dépenses intérieures totales,fra
dépenses,fra
earnings,eng
eau,fra
ecodistrict,eng
ecole,fra
economic dashboard,eng
economic families,eng
economic recovery dashboard,eng
ecoregion,eng
ecosection,eng
education,eng
election,eng
elections,eng
electric power,eng
electricity generation,eng
elevation,eng
embonpoint,fra
emploi,fra
employed women with children,eng
employed,eng
employee lists,eng
employees in management,eng
employees,eng
employers,eng
employeurs,fra
employment rate,eng
employment,eng
employé,fra
employés en gestion,fra
employés salariés,fra
employés,fra
en construction,fra
engrais,fra
enquête nationale auprès des ménages (enm),fra
enregistrement sonore,fra
entreprises appartenant à des femmes par province,fra
entreprises,fra
espérance de vie,eng
essence,fra
estimates,eng
estimations financières,fra
estimations,fra
examen de conduite,fra
expected useful life,eng
expenditures on research and development,eng
exploration minière,fra
expéditions,fra
faculty and teachers,eng
faible revenu et inégalité,fra
familles économiques,fra
family and personal income,eng
family size,eng
family types,eng
farm land,eng
faune,fra
federal,eng
federated,eng
female population,eng
female victims,eng
female,eng
females 15-19 years,eng
femme,fra
femmes 15 - 19,fra
femmes employées avec enfants,fra
femmes victimes,fra
fermetures,fra
ferroviaire,fra
ferroviaires,fra
fertility rates,eng
fertilizer,eng
field of study,eng
financial estimates,eng
fishing,eng
flood risk,eng
foncière,fra
fond de la mer,fra
fondés sur l'affaire,fra
food services and drinking places,eng
food spending,eng
food,eng
force de travail,fra
forest,eng
formation et apprentissage,fra
forêt,fra
foyer,fra
frais de scolarité,fra
frais de subsistance,fra
french immersion,eng
full professor,eng
fumeur actuel,fra
fundy,eng
fédéral,fra
fédérale,fra
fédérée,fra
féminin,fra
fériés,fra
gas,eng
gasoline and fuel oil,eng
gdp,eng
gender,eng
gender-based violence,eng
gendre,eng
genealogy,eng
geology,eng
geonb,eng
gestational age,eng
gisements minéraux,fra
gouvernements locaux,fra
government student loans,eng
grade,eng
granulés de bois,fra
grid,eng
grille,fra
gross domestic product,eng
grossesse,fra
généalogique,fra
géologie,fra
health,eng
heures consacrées au travail domestique,fra
holiday,eng
home,eng
homeless shelter,eng
hospitals,eng
hours spent on domestic work,eng
household chores,eng
household spending,eng
household,eng
housing starts,eng
human trafficking,eng
hypothèques,fra
hôpitaux,fra
identité autochtone,fra
image raster,eng
immatriculations,fra
immersion française,fra
immigrant status,eng
immigration,fra
impact,eng
imposition,fra
incident-based,eng
incidents autodéclarés,fra
incidents non signalés à la police,fra
incidents not reported to police,fra
incidents reported to police,eng
incidents signalés à la police,eng
income statistics,eng
income,eng
indemnités de cessation d'emploi,fra
index,eng
indian,eng
indicateurs annuels,fra
indice de gravité de la criminalité,fra
indice de masse corporelle,fra
indice des prix à la consommation,fra
