spatial_representation_type_en,orig_id
vector,wubi-4yxj
vector,rzzg-85tb
vector,uuey-4g2f
vector,uxu6-8mmc
vector,b94a-civj
vector,nxzc-u9zg
vector,j7tu-9cu3
vector,fgck-3q53
vector,6x3c-dpjq
vector,xy5d-xwvz
vector,jg2s-3239
vector,e5k7-ya99
vector,3bjy-ier2
vector,6b9k-gp8j
grid,w6g4-amfk
vector,g2ry-7fmi
grid,5pbd-h54y
vector,m2ni-fwqf
vector,ksan-r62m
vector,3g35-kdnm
vector,qei2-qmsi
vector,pgse-95sn
vector,8hxw-b5ij
vector,u755-jbxe
grid,5mvs-258u
vector,pmii-4arj
grid,5v4x-tcn7
vector,3amk-9pnk
vector,keju-34p8
vector,t6hf-gbks
vector,4es4-7e8z
vector,v2ft-66he
vector,uex7-trhg
vector,k3v8-y3a5
vector,mbs9-56mm
vector,efvh-czff
vector,5zbz-b44q
vector,js6t-a99d
vector,fs8y-i4zq
vector,mcij-8iap
vector,5dff-c385
vector,9bqr-479n
vector,vc6s-v9py
vector,rnin-ez9d
vector,fiuj-9ghk
vector,6b3t-wrgf
vector,kr8u-f6vk
vector,474s-bajm
vector,wjbd-dhzu
vector,su5g-fr6f
vector,6akw-nues
vector,p6is-wfuj
vector,4m9f-xs5a
vector,hpqd-nt23
vector,tb6b-ss94
vector,y6kx-pxd5
