HNAP_ATTRIBUTES,FEATURE_ATTRIBUTES,METADATA_SECTION
abstract,notes_en,GMD_MDMETADATA
abstract_other_lang,notes_fr,GMD_MDMETADATA
abstract_other_lang_locale,abstract_other_lang_locale,GMD_MDMETADATA
abstract_other_lang_warning_en,abstract_other_lang_warning,GMD_MDMETADATA
contact_address,contacts{}.address,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_administrative_area,contacts{}.administrative_area,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_city,contacts{}.city,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_country,contacts{}.country,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_email_or_form_en,contacts{}.email,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_email_or_form_fr,contacts{}.email,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_email_other_lang_locale,contacts{}.email_other_lang_locale,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_facsimile,contacts{}.facsimile,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_phone,contacts{}.phone,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_position,contacts{}.position,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_position_other_lang,contacts{}.position_other_lang,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_position_other_lang_locale,contacts{}.position_other_lang_locale,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_postal_code,contacts{}.postal_code,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_role,contacts{}.role_code,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_role_en,contacts{}.role,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_role_fr,contacts{}.role_fr,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
data_collection_end_date,data_collection_end_date,GMD_MDMETADATA
data_collection_start_date,data_collection_start_date,GMD_MDMETADATA
dataset_title,title_en,GMD_MDMETADATA
dataset_title_other_lang,title_fr,GMD_MDMETADATA
dataset_title_other_lang_locale,dataset_title_other_lang_locale,GMD_MDMETADATA
date_created,record_create_date,GMD_MDMETADATA
date_last_modified,record_last_modified,GMD_MDMETADATA
date_published,record_publish_date,GMD_MDMETADATA
distribution_format,distributionList{}.format,GMD_DISTRIBUTIONFORMAT
distribution_format_version,distribution_format_version,GMD_DISTRIBUTIONFORMAT
east_bound_longitude,east_bound_longitude,GMD_MDMETADATA
file_identifier,id,GMD_MDMETADATA;GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR;GMD_DISTRIBUTIONFORMAT;GMD_KEYWORDS;GMD_REFERENCESYSTEMINFO;GMD_RESOURCEMAINTENANCE;GMD_TOPICCATEGORY;GMD_TRANSFEROPTIONS
graphicoverview_link,graphic_link,GMD_MDMETADATA
individualName,contacts{}.name,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
iso_topic,iso_topic,GMD_TOPICCATEGORY
keyword,tags{}.display_name_en,GMD_KEYWORDS
keyword_other_lang,tags{}.display_name_fr,GMD_KEYWORDS
keyword_other_lang_locale,keyword_other_lang_locale,GMD_KEYWORDS
metadata_standard,metadata_standard_version,GMD_MDMETADATA
north_bound_latitude,north_bound_latitude,GMD_MDMETADATA
online_resource_description,online_resource_description_en,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
online_resource_description_other_lang,online_resource_description_fr,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
online_resource_description_other_lang_locale,online_resource_description_locale,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
online_resource_link,online_resource_link,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
online_resource_protocol,online_resource_protocol,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
projection_name,spatialref{}.projection_name,GMD_REFERENCESYSTEMINFO
p-t_entity,p-t_entity_en,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
p-t_entity_other_lang,p-t_entity_fr,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
p-t_entity_other_lang_locale,p-t_entity_other_lang_locale,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
p-t_license,p-t_license_en,GMD_MDMETADATA
p-t_license_other_lang,p-t_license_fr,GMD_MDMETADATA
p-t_license_other_lang_locale,p-t_license_other_lang_locale,GMD_MDMETADATA
reference_system,spatialref{}.projection_system,GMD_REFERENCESYSTEMINFO
reference_system_version,spatialref{}.projection_system_version,GMD_REFERENCESYSTEMINFO
sector,sector_en,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
sector_other_lang,sector_fr,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
south_bound_latitude,south_bound_latitude,GMD_MDMETADATA
spatial_representation_type_code,spatial_representation_type_code,GMD_MDMETADATA
spatial_representation_type_en,spatial_representation_type,GMD_MDMETADATA
