source_date_extent,data_collection_start_date,data_collection_end_date
1981 - current year,1981-01-01
"1996 - February 27, 2015",1996-01-01,2015-02-27
"2001 - February 27, 2015",2001-01-01,2015-02-27
April to June 2014 and April to June 2015,2014-04-01, 2015-06-30
Beginning calendar year 2010 to end calendar year 2014.,2010-01-01,2014-12-31
Calendar year 2015,2015-01-01,2015,12,31
"Cases as of August 31, 2015",2015-08-31,2022-01-01
"Data is uploaded each business day, Coverage is up-to-date",0001-01-01
Fiscal 2014-2015,2014-04-01,2015-03-31
"Fiscal Year - April 1, 2014 to March 31, 2015",2014-04-01,2015-03-31
Fiscal Year 2014-15,2014-04-01,2015-03-31
Fiscal Year 2014-2015,2014-04-01,2015-03-31
Fiscal Years 1994-95 to 2013-14,1994-04-01,2014-03-31
Fiscal Years 1994-95 to 2021-22,1994-04-01,2022-03-31
Taxation Year 2012,2012-04-01,2013-03-31
UNKNOWN,0001-01-01
