original_sector_value,hnap_sector_value,graphic_link,fgp_publish,jurisdiction
"Community Accounts, Newfoundland and Labrador Statistics Agency","Community Accounts, Newfoundland and Labrador Statistics Agency",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
"Economics and Statistics Branch, Department of Finance","Economics and Statistics Branch, Department of Finance",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
Newfoundland and Labrador Electoral Boundaries Commission,Newfoundland and Labrador Electoral Boundaries Commission,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
Newfoundland and Labrador Statistics Agency,Newfoundland and Labrador Statistics Agency,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
"Newfoundland and Labrador Statistics Agency, Department of Finance","Newfoundland and Labrador Statistics Agency, Department of Finance",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
"Community Accounts, Newfoundland and Labrador Statistics Agency, Department of Finance","Community Accounts, Newfoundland and Labrador Statistics Agency, Department of Finance",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
"ATIPP Office,Department of Justice and Public Safety, Government of Newfoundland and Labrador ","ATIPP Office,Department of Justice and Public Safety, Government of Newfoundland and Labrador ",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
Community Accounts group and Statistical Data Product Development group of the Newfoundland and Labrador Statistics Agency ,Community Accounts group and Statistical Data Product Development group of the Newfoundland and Labrador Statistics Agency ,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
"Department of Finance, Economics and Statistics","Department of Finance, Economics and Statistics",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
"Department of Finance, Government of Newfoundland and Labrador","Department of Finance, Government of Newfoundland and Labrador",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
Department of Health and Community Services,Department of Health and Community Services,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/nl/nl.png,Oui,provincial
