original_value,real_value_english,real_value_french,code_value
Adoption,government_and_politics
archaeology,history_and_archaeology
automobiles,transport
Baby Names,government_and_politics
Beaver Trappers,nature_and_environment
Behaviour Management,society_and_culture
Births,health_and_safety
Black Bear,health_and_safety
Buses,transport
Caribou,nature_and_environment
Cash Spending,economics_and_industry
Charities,government_and_politics
charity,government_and_politics
Children,health_and_safety
claims staked,government_and_politics
commercial vehicles,transport
commodity,economics_and_industry
communities,government_and_politics
community enhancement,government_and_politics
Companies,economics_and_industry
Consumption,economics_and_industry
Convention on International Trade in Endangered Species,nature_and_environment
convictions,law
court,law
Coyote,nature_and_environment
crime,law
crown lands,law
Debt,economics_and_industry
Debt Expense,economics_and_industry
Deficit,economics_and_industry
Demand,economics_and_industry
demographics,health_and_safety
diamond drilling,economics_and_industry
disease,health_and_safety
driver's licence,transport
driving,transport
driving distance,transport
driving time,transport
Drugs,health_and_safety
electric,government_and_politics
Electricity,government_and_politics
Employment,economics_and_industry
Energy,economics_and_industry
Environment,nature_and_environment
Expenditures,economics_and_industry
Expense,economics_and_industry
Exploration,economics_and_industry
Family,government_and_politics
ferry,transport
ferry terminals,transport
Firearm Transport,government_and_politics
Fiscal Indicators,economics_and_industry
fish,nature_and_environment
fish processors,economics_and_industry
Fuel Prices,economics_and_industry
Gaming,government_and_politics
GDP,economics_and_industry
General Trappers,nature_and_environment
Given Names,government_and_politics
government_and_politics,government_and_politics
Grant payments,government_and_politics
Grants,government_and_politics
Gross Domestic Product,economics_and_industry
Gunsmithing,government_and_politics
Guide,nature_and_environment
health,health_and_safety
hospitals,health_and_safety
health_and_safety,health_and_safety
Identity,government_and_politics
Import,economics_and_industry
income sources,economics_and_industry
justice,law
Labrador,government_and_politics
Labour Force,economics_and_industry
Labour Markets,economics_and_industry
Licences,government_and_politics
Lotteries,government_and_politics
low income,economics_and_industry
lynx,nature_and_environment
Mineral,economics_and_industry
mineral claims,government_and_politics
Mining,economics_and_industry
Moose,nature_and_environment
Moose and Caribou Parts,nature_and_environment
morbidity,health_and_safety
mortality,health_and_safety
Names,government_and_politics
nature_and_environement,nature_and_environment
Net debt,economics_and_industry
non-profit,economics_and_industry
Non-Resident,government_and_politics
Occupation Forecasts,economics_and_industry
Operating Grants,government_and_politics
Parking,transport
per capita,economics_and_industry
Permits,government_and_politics
Personal Income Tax,government_and_politics
Placement Resources,economics_and_industry
population,health_and_safety
Possession,nature_and_environment
Prescription Drug Program,health_and_safety
Probation,law
projections,economics_and_industry
PUB,government_and_politics
Public Safety,health_and_safety
recruitment,economics_and_industry
Refined Petroleum Products,economics_and_industry
Resident,government_and_politics
Revenue,economics_and_industry
Rod and Gun,government_and_politics
Run Dogs,nature_and_environment
Salmon,nature_and_environment
school,education_and_training
School Buses,transport
Scientific Research,science_and_technology
Sell Game,government_and_politics
Senior,government_and_politics
septic systems,nature_and_environment
sewage,nature_and_environment
sewer,nature_and_environment
shipment,economics_and_industry
Small Game,government_and_politics
snowshoe hare,nature_and_environment
social support,society_and_culture
Special Labrador,government_and_politics
statistics,government_and_politics
Status,government_and_politics
Stratification,science_and_technology
Supervised Probation,law
Supply,economics_and_industry
Surplus,economics_and_industry
tax,government_and_politics
tax credits,government_and_politics
tax incentives,government_and_politics
tax rebates,government_and_politics
tax refunds,government_and_politics
Taxable Income,government_and_politics
taxation,government_and_politics
tickets,transport
traffic,transport
transportation,transport
Trout,nature_and_environment
Vaccine,health_and_safety
Vacctrac,health_and_safety
vehicle registrations,transport
vehicles,transport
Volunteering,society_and_culture
water,health_and_safety
water quality,health_and_safety
water supplies,health_and_safety
weigh scales,transport
Wildlife Export,nature_and_environment
Wild Meat Service,health_and_safety
Wildlife in Captivity,nature_and_environment
Wolf,nature_and_environment
Youth,health_and_safety
Youth Snaring,government_and_politics
