original_value,real_value_english,real_value_french,code_value
Adoption,society
archaeology,geoscientific_information
Arts,society
automobiles,transport
Baby Names,society
Beaver Trappers,environment
Behaviour Management,society
Births,health
Black Bear,environment
Buses,transport
Caribou,environment
Cash Spending,economy
Charities,society
charity,society
Children,health
claims staked,planning_cadastre
commercial vehicles,transport
commodity,economy
communities,society
community enhancement,society
Companies,economy
Consumption,economy
Convention on International Trade in Endangered Species,environment
convictions,society
court,society
Coyote,environment
crime,society
crown lands,planning_cadastre
Culture,society
Debt,economy
Debt Expense,economy
Deficit,economy
Demand,economy
demographics,society
diamond drilling,economy
disease,health
driver's licence,transport
driving,transport
driving distance,transport
driving time,transport
Drugs,health
electric,economy
Electricity,economy
Employment,economy
Energy,economy
Environment,environment
Expenditures,economy
Expense,economy
Exploration,economy
Family,society
ferry,transport
ferry terminals,transport
Firearm Transport,transport
Fiscal Indicators,economy
fish,environment
fish processors,economy
Fuel Prices,economy
Gaming,health
GDP,economy
General Trappers,environment
Given Names,society
NL Open Data,society
Grant payments,economy
Grants,economy
Gross Domestic Product,economy
Gunsmithing,society
Guide,society
health,health
hospitals,health
health_and_safety,health
Identity,society
Import,economy
income sources,economy
justice,society
Labrador,boundaries
Labour Force,economy
Labour Markets,economy
Licences,society
Lotteries,society
low income,society
lynx,environment
Mineral,economy
mineral claims,economy
Mining,economy
Moose,environment
Moose and Caribou Parts,environment
morbidity,health
mortality,health
Names,society
nature_and_environement,environment
Net debt,economy
non-profit,economy
Non-Resident,society
Occupation Forecasts,economy
Operating Grants,economy
Parking,transport
per capita,economy
Permits,society
Personal Income Tax,economy
Placement Resources,economy
population,society
Possession,society
Prescription Drug Program,health
Probation,society
projections,economy
PUB,society
Public Safety,society
recruitment,society
Refined Petroleum Products,economy
Resident,society
Revenue,economy
Rod and Gun,society
Run Dogs,environment
Salmon,environment
school,society
School Buses,transport
Scientific Research,geoscientific_information
Sell Game,society
Senior,society
septic systems,environment
sewage,environment
sewer,environment
shipment,economy
Small Game,environment
snowshoe hare,environment
social support,society
Special Labrador,boundaries
statistics,society
Status,society
Stratification,geoscientific_information
Supervised Probation,society
Supply,economy
Surplus,economy
tax,economy
tax credits,economy
tax incentives,economy
tax rebates,economy
tax refunds,economy
Taxable Income,economy
taxation,economy
tickets,society
traffic,transport
transportation,transport
Trout,environment
Vaccine,health
Vacctrac,health
vehicle registrations,transport
vehicles,transport
Volunteering,society
water,environment
water quality,environment
water supplies,environment
weigh scales,transport
Wildlife Export,environment
Wild Meat Service,environment
Wildlife in Captivity,environment
Wolf,environment
Youth,health
Youth Snaring,health
