source_date_extent,data_collection_start_date,data_collection_end_date
17-19 Fiscal Year,2017-01-01,2019-12-31
1980-01-01/2017-06-31,1980-01-01,2017-06-30
1996/1997 to 2022/2023,1996-01-01,2023-12-31
1996/1997 to 2023/2024,1996-01-01,2024-12-31
"2001-01-01/2001-12-31, 2003-01-01/2003-12-31, 2005-01-01/2005-12-31, 2007-01-01/2007-12-31",2001-01-01,2007-12-31
2002 to present,2002-01-01
2002 to November 2023,2002-01-01,2023-11-30
2005-01-01/20221-12-31,2005-01-01,2022-12-31
"2005-01-01/2005-12-31, 2007-01-01/2007-12-31, 2008-01-01/2008-12-31, 2009-01-01/2009-12-31",2005-01-01,2009-12-31
"2006-01-01/2006-12-31, 2011-01-01/2011-12-31",2006-01-01,2011-12-31
2006-01-01 - present,2006-01-01
2006-04-01to fiscal year 2024/2025,2006-04-01,2025-03-31
2006/2007 to 2023/2024,2006-04-01,2024-03-31
2007-01-01/2018-11-31,2007-01-01,2018-11-30
2007-01-01/2021-1-31,2007-01-01,2021-01-31
2007-01-01/2023-08,2007-01-01,2023-08-01
2007-01-01/2023-12,2007-01-01,2023-12-31
2008/09 - 2021/22,2008-04-01,2022-03-31
2008/09 -2021/22,2008-04-01,2022-03-31
2008/09 through 2021/22,2008-04-01,2022-03-31
2008/2009 through 2022/2023,2008-04-01,2023-03-31
2008/2009 - 2021/2022,2008-04-01,2022-03-31
2008/2009 -2022/2023,2008-04-01,2023-03-31
2008/2009 - 2022/2023,2008-04-01,2023-03-31
2008-09 - 2020-21,2008-04-01,2021-03-31
2008-09 -2020-21,2008-04-01,2021-03-31
2008-09 through 2018-19,2008-01-01,2019-12-31
2008-09 through 2019-20,2008-01-01,2020-12-31
2008-09 through 2020-21,2008-04-01,2021-03-31
2010-07-01/2023-06,2010-07-01,2023-06-30
2011-04-01/Q1 2023-2024,2011-04-01,2024-03-31
2011-04-01/Q1 2024-2025,2011-04-01,2025-03-31
2011-04-01/Q2 2023-2024,2011-04-01,2024-06-30
2011-04-01/Q2 2024-2025,2011-04-01,2025-06-30
2011-04-01/Q3 2023-2024,2011-04-01,2024-09-30
2011-04-01/Q4 2023-2024,2011-04-01,2024-12-31
2011-2012 to 2023-2024,2011-04-01,2024-03-31
2012-04-01/ 2025-04-01,2012-04-01,2025-04-01
2012/13 through 2021/22,2012-04-01,2022-03-31
2012/2013 through 2022/2023 Q4,2012-04-01,2023-12-31
