id,spatial_representation_type
knwz-4bap,textTable
wpsu-7fer,textTable
eb3n-uxcb,textTable
x9dy-aai9,textTable
a9za-3t63,textTable
eda5-aubu,textTable
adpu-nyt8,textTable
v6sa-tiit,textTable
mq2k-54s4,textTable
9qw2-yb2f,textTable
4yhm-6umk,vector
3bbm-drnh,textTable
8tvc-9ah2,textTable
w9gj-pd7g,textTable
qhfm-cp25,textTable
ddk3-mz42,textTable
36wx-n4y2,textTable
5hnc-kmpv,textTable
de89-3xrj,textTable
gh5x-n5t9,textTable
md4n-ch5r,textTable
ps8r-e55x,textTable
dicb-nrfk,textTable
7mhg-zhcg,textTable
hain-k6pj,textTable
3j2a-f43q,textTable
a7ee-qcwj,textTable
ccem-uxu9,textTable
gqhb-4cnd,textTable
tfbp-itby,textTable
n7es-ur7c,textTable
f7xw-punz,textTable
7nff-dbje,textTable
v8i9-2nd3,textTable
5b98-mtue,textTable
wqvb-pd78,textTable
rqp4-39eg,textTable
m4gi-v8hp,textTable
re2g-ji5f,textTable
jaza-xvut,textTable
ic64-y5y7,textTable
mydf-kwzn,textTable
6ce5-rxzc,textTable
h5pg-7f7c,textTable
u5en-p4f5,textTable
v5jg-6zdc,textTable
7dfb-h4nw,textTable
85ft-byz6,textTable
