tagname,tag_validity
accident,valid
âgé,invalid
agrées,invalid
année d'études,invalid
année scolaire,invalid
assessment,valid
base,valid
bassin versant,invalid
bear,valid
bedrock,valid
bia,invalid
boire de l'eau,invalid
boundaries,valid
business,valid
camion commercial,invalid
carte,invalid
central business district,valid
centre de service,invalid
centre ville,invalid
cerfs de virginie,invalid
chaleur,invalid
champs de captage,invalid
commercial truck,valid
community boundaries,valid
comté,invalid
conservation,valid
corporate registry,valid
county,valid
crown land,valid
csnb,invalid
deer,valid
district,valid
district scolaire,valid
districts de services locaux,invalid
downtown,valid
drillhole,valid
drivers exam,valid
eau,invalid
ecodistrict,valid
ecole,invalid
école,invalid
école publique,invalid
ecoregion,valid
ecosection,valid
elevation,valid
évaluation,invalid
examen de conduite,invalid
exploration minière,invalid
faune,invalid
federal,valid
fédéral,invalid
ferroviaire,invalid
fishing,valid
foncière,invalid
fond de la mer,invalid
forest,valid
forêt,invalid
foyer,invalid
french immersion,valid
fundy,valid
gas,valid
géologie,invalid
geology,valid
geonb,invalid
gisements minéraux,invalid
gouvernements locaux,invalid
grade,valid
grid,valid
grille,invalid
health,valid
home,valid
hôpitaux,invalid
hospitals,valid
immersion française,invalid
index,valid
inland,valid
intérieures,invalid
l'utilisation des terres,invalid
lac,invalid
lake,valid
land use,valid
licensed,valid
lidar,invalid
limites,invalid
limites des communautés,invalid
limits,valid
local government,valid
local service districts,valid
lyme disease,valid
maladie de lyme,invalid
map,valid
militaires,invalid
military,valid
mineral,valid
mineral deposits,valid
mineral exploration,valid
minérales,invalid
minerals,valid
mining,valid
moose,valid
mort de route,invalid
municipal,valid
municipalité,invalid
municipality,valid
national,valid
natural,valid
naturelles,invalid
nb,invalid
nbhc,invalid
nbhn,invalid
ncb,invalid
network,valid
new brunswick,valid
New Brunswick data,valid
niveau scolaire,invalid
northumberland,valid
nouveau-brunswick,invalid
nrwn,invalid
nuage de points,invalid
nuisance,valid
nursing,valid
offshore,valid
oil,valid
orignial,valid
ours,valid
pan,invalid
parc,invalid
parcelles,invalid
parcels,valid
parish,valid
park,valid
paroisse,invalid
peat,valid
peatland,valid
pêche,invalid
petroleum,valid
pétrolières,invalid
pipeline,valid
pna,invalid
point cloud,valid
property,valid
propriété,invalid
protected,valid
protégé,invalid
province,valid
public school,valid
rail,valid
railway,valid
region,valid
région,invalid
registre d'entreprise,invalid
réseau,invalid
rfn,invalid
river,valid
rivière,invalid
roadkill,valid
santé,invalid
school,valid
school district,valid
school year,valid
seafloor,valid
sections,valid
senior,valid
service centre,valid
soins,invalid
substrat rocheux,invalid
terre humide,invalid
terres de la couronne,invalid
tick,valid
tique,invalid
tourbe,invalid
tourbiere,invalid
transport,valid
transportation,valid
trou de forage,invalid
units,valid
water,valid
watershed,valid
well,valid
wellfield,valid
wetland,valid
wildlife,valid
zaa,invalid
znp,invalid
