api_value,organization_name,organization_name_fr
Nursing Home Services Branch,New Brunswick Department of Social Development,Ministère du Développement social du Nouveau-Brunswick
Wildlife,New Brunswick Department of Energy and Resource Development,Ministère des Ressources naturelles et du Développement de l'énergie du Nouveau-Brunswick
Department of Environment and Local Government,New Brunswick Department of Environment and Local Government,Ministère des Ressources naturelles et du Développement de l'énergie du Nouveau-Brunswick
SNB,Service New Brunswick,﻿Service Nouveau-Brunswick
Education and Early Childhood Development,New Brunswick Department of Education and Early Childhood Development,Ministère de l'Éducation et du Développement de la petite enfance du Nouveau-Brunswick
Natural Resources Canada,Government of Canada; Department of Natural Resources,
Environment and Local Government,New Brunswick Department of Environment and Local Government,Ministère de l'Environnement et des Gouvernements locaux du Nouveau-Brunswick
Department of Energy and Resource Development (ERD),New Brunswick Department of Energy and Resource Development,Ministère des Ressources naturelles et du Développement de l'énergie du Nouveau-Brunswick
Open Data NB,Service New Brunswick,﻿Service Nouveau-Brunswick
Social Development,New Brunswick Department of Social Development,Ministère du Développement social du Nouveau-Brunswick
Energy and Resource Development,New Brunswick Department of Energy and Resource Development,Ministère des Ressources naturelles et du Développement de l'énergie du Nouveau-Brunswick
Mount Allison University,Mount Allison University,Université Mount Allison
Health,New Brunswick Department of Health,Ministère de la Santé du Nouveau-Brunswick
New Brunswick Health Council,New Brunswick Health Council,﻿Conseil de la santé du Nouveau-Brunswick
Service New Brunswick,Service New Brunswick,﻿Service Nouveau-Brunswick
none_listed,None Specified in API,None Specified in API
