TBS_ATTRIBUTES,FEATURE_ATTRIBUTES,SECTION
notes_original,notes,ROOT
notes_alternate,notes_fr,ROOT
org_name,sector,ROOT
locale,locale,ROOT
jurisdiction,jurisdiction,ROOT
position_name_fr,sector,ROOT
position_name_en,sector,ROOT
update_frequency_tbs,update_frequency_tbs,ROOT
data_collection_start_date,data_collection_start_date,ROOT
data_collection_end_date,data_collection_end_date,ROOT
id,id,ROOT;RESOURCES
title_alternate,title_fr,ROOT
title_original,title,ROOT
source_metadata_date_created,record_create_date,ROOT
email,contacts{0}.email,ROOT
date_published,record_publish_date,ROOT
metadata_modified,record_last_modified,ROOT
tbs_license_id,liscense_id,ROOT
tbs_imso_approval,tbs_imso_approval,ROOT
tbs_ready_to_publish,tbs_ready_to_publish,ROOT
tbs_locale,tbs_locale,ROOT
prov_portal_last_modified,record_last_modified,ROOT
tbs_hierarchy_level,tbs_hierarchy_level,ROOT
tbs_owner_org_id,tbs_owner_org_id,ROOT
p-t_entity_alternate,p-t_entity_fr,ROOT
p-t_entity_original,p-t_entity,ROOT
nom_organisation_alternate,nom_organisation_fr,ROOT
nom_organisation_original,nom_organisation_en,ROOT
tbs_collection,tbs_collection,ROOT
tbs_responsible_role,tbs_responsible_role,ROOT
tbs_restriction,tbs_restriction,ROOT
tbs_type,tbs_type,ROOT
tbs_state,tbs_state,ROOT
keywords_fr,keywords_fr,ROOT
keywords_en,keywords_en,ROOT
TBS_subject,TBS_subject,ROOT
TBS_topic,TBS_topic,ROOT
url,resources{}.url,RESOURCES
name_fr,resources{}.name_fr,RESOURCES
name_en,resources{}.name_en,RESOURCES
format_resourceType_en,resources{}.format_resourceType_en,RESOURCES
format,resources{}.format,RESOURCES
tbs_resource_language,tbs_resource_language,ROOT
original_language,resources{}.original_language,RESOURCES
name_original,resources{}.name_original,RESOURCES
language_translation_code,resources{}.language_translation_code,RESOURCES
name_translated,resources{}.name_translated,RESOURCES
language_list,resources{}.language_list,RESOURCES
tbs_original_language,tbs_original_language,ROOT
tbs_translation_code,tbs_translation_code,ROOT
tbs_alternate_language,tbs_alternate_language,ROOT
keywords_original,keywords_original,ROOT
keywords_alternate,keywords_alternate,ROOT
