tag_value,subject_value
address,society_and_culture
agriculture and food,agriculture
alternate species,nature_and_environment
annual report,ignore
arts and culture,arts_music_literature
arts and culture,society_and_culture
beef,agriculture
benefits,economics_and_industry
breeding,nature_and_environment
business and economy,economics_and_industry
calving,nature_and_environment
cantor,society_and_culture
cantor,persons
carpool,transport
cases,health_and_safety
child care,society_and_culture
citizen science,nature_and_environment
clergy,society_and_culture
clergy,persons
commute,transport
coronavirus,health_and_safety
correctional institutions,law
corrections,law
cost,economics_and_industry
covid,health_and_safety
covid-19,health_and_safety
covid-19 testing locations,health_and_safety
credits,economics_and_industry
credits,government_and_politics
culture and recreation,arts_music_literature
culture and recreation,society_and_culture
culture et loisirs,arts_music_literature
culture et loisirs,society_and_culture
dairy,agriculture
denning,nature_and_environment
dépistage de la covid-19,health_and_safety
détenus,law
diesel,economics_and_industry
données ontario,ignore
driving and roads,transport
écoles,education_and_training
économie et affaires,economics_and_industry
economy and business,economics_and_industry
education and training,education_and_training
éducation et formation,education_and_training
elder,ignore
elderly,society_and_culture
élémentaire,education_and_training
elementary,education_and_training
emrb,ignore
energy,economics_and_industry
environment,nature_and_environment
environment and energy,nature_and_environment
environment and energy,science_and_technology
environment and energy,economics_and_industry
environment and natural resources,nature_and_environment
environment and natural resources,science_and_technology
environment and natural resources,economics_and_industry
environnement et énergie,nature_and_environment
environnement et énergie,science_and_technology
environnement et énergie,economics_and_industry
environnement et richesses naturelles,nature_and_environment
environnement et richesses naturelles,science_and_technology
environnement et richesses naturelles,economics_and_industry
établissements correctionnels,law
état,government_and_politics
fair market value,economics_and_industry
fawning,nature_and_environment
feeding,nature_and_environment
fisheries,economics_and_industry
fishing,nature_and_environment
forest management planning,nature_and_environment
fuel,economics_and_industry
gasoline,economics_and_industry
general habitat,nature_and_environment
gouvernement,government_and_politics
gouvernement et finances,government_and_politics
gouvernement et finances,economics_and_industry
government,government_and_politics
government and finance,government_and_politics
government and finance,economics_and_industry
guaranteed annual income system,economics_and_industry
health,health_and_safety
health and wellness,health_and_safety
home and community,society_and_culture
hôpitaux,health_and_safety
hospital,health_and_safety
housing communities and social support,society_and_culture
imam,society_and_culture
imam,persons
impôt sur le revenu,economics_and_industry
impôt sur le revenu,government_and_politics
impôts et avantages fiscaux,economics_and_industry
income tax,economics_and_industry
income tax,government_and_politics
infrastructure and transportation,transport
infrastructure et transport,transport
inland lakes,nature_and_environment
inmates,law
jobs and employment,labour
junior,ignore
justice and public safety,law
lacs,nature_and_environment
lakes,nature_and_environment
lamb,agriculture
law and safety,law
livestock,agriculture
logement collectivités et soutien social,society_and_culture
lois et sécurité,law
mariage,society_and_culture
mariage,persons
market value,economics_and_industry
marriage,society_and_culture
marriage,persons
marriage officiant,society_and_culture
marriage officiant,persons
migration,ignore
minister,society_and_culture
minister,persons
missing persons,persons
natural gas,economics_and_industry
nesting birds,nature_and_environment
nesting reptiles,nature_and_environment
nesting site,nature_and_environment
northern health programs,health_and_safety
nurse,health_and_safety
nursery,ignore
officiant,persons
old age security,economics_and_industry
opp annual report,law
owb,ignore
parking lots,transport
pastor,society_and_culture
pastor,persons
payroll deduction,economics_and_industry
phone number,ignore
poultry,agriculture
prêtre,society_and_culture
prêtre,persons
prices,economics_and_industry
priest,society_and_culture
priest,persons
program funding,economics_and_industry
propane,economics_and_industry
puits,economics_and_industry
rabbi,society_and_culture
rabbi,persons
rates,economics_and_industry
rates,government_and_politics
régions rurales et du nord,society_and_culture
regulations,law
resting,ignore
reverend,society_and_culture
reverend,persons
rules,law
rural and north,society_and_culture
santé,health_and_safety
santé et bien-être,health_and_safety
schools,education_and_training
secondaire,ignore
secondary,ignore
seed collection,agriculture
seed deployment,agriculture
seed zone,agriculture
seniors,society_and_culture
services correctionnels,law
sheep,agriculture
sikh,society_and_culture
sikh,persons
staging,ignore
status,ignore
swine,agriculture
taux,economics_and_industry
taux,government_and_politics
taxes,economics_and_industry
taxes,government_and_politics
taxes and benefits,economics_and_industry
testing,ignore
tests,ignore
travail et emploi,labour
travel,ignore
travel and recreation,society_and_culture
travel and recreation,transport
travel and recreation,arts_music_literature
travel corridor,nature_and_environment
tree seed,nature_and_environment
underserviced area programs,society_and_culture
urgent demands for records,ignore
values,ignore
volailles,agriculture
water,nature_and_environment
water,science_and_technology
water quality,nature_and_environment
water quality,science_and_technology
watershed,nature_and_environment
wedding,society_and_culture
wells,economics_and_industry
wildlife,nature_and_environment
wintering,nature_and_environment
_default_tag_value_,society_and_culture
