TBS_ATTRIBUTES,FEATURE_ATTRIBUTES,SECTION
description_fr,notes,ROOT
description_en,notes_en,ROOT
org_name,sector,ROOT
locale,locale,ROOT
jurisdiction,jurisdiction,ROOT
position_name_fr,sector,ROOT
position_name_en,sector,ROOT
update_frequency_tbs,update_frequency_tbs,ROOT
data_collection_start_date,data_collection_start_date,ROOT
data_collection_end_date,data_collection_end_date,ROOT
id,id,ROOT;RESOURCES
title_fr,title,ROOT
title_en,title_en,ROOT
source_metadata_date_created,record_create_date,ROOT
email,contacts{0}.email,ROOT
date_published,record_publish_date,ROOT
metadata_modified,record_last_modified,ROOT
tbs_license_id,tbs_license_id,ROOT
tbs_imso_approval,tbs_imso_approval,ROOT
tbs_ready_to_publish,tbs_ready_to_publish,ROOT
tbs_locale,tbs_locale,ROOT
prov_portal_last_modified,record_last_modified,ROOT
tbs_hierarchy_level,tbs_hierarchy_level,ROOT
tbs_owner_org_id,tbs_owner_org_id,ROOT
p-t_entity_fr,p-t_entity_fr,ROOT
p-t_entity_en,p-t_entity_en,ROOT
nom_organisation_fr,nom_organisation_fr,ROOT
nom_organisation_en,nom_organisation_en,ROOT
tbs_collection,tbs_collection,ROOT
tbs_responsible_role,tbs_responsible_role,ROOT
tbs_restriction,tbs_restriction,ROOT
tbs_type,tbs_type,ROOT
tbs_state,tbs_state,ROOT
keywords_fr,keywords_fr,ROOT
keywords_en,keywords_en,ROOT
TBS_subject,TBS_subject,ROOT
TBS_topic,TBS_topic,ROOT
url,resources{}.url,RESOURCES
name_fr,resources{}.name_fr,RESOURCES
name_en,resources{}.name_en,RESOURCES
res_type_tbs,resources{}.res_type_tbs,RESOURCES
format_tbs,resources{}.format_tbs,RESOURCES
tbs_resource_language,tbs_resource_language,ROOT
