original_value,real_value_english,real_value_french,code_value
resourceProvider,resourceProvider,fournisseurRessource,RI_408
custodian,custodian,conservateur,RI_409
owner,owner,propriétaire,RI_410
user,user,utilisateur,RI_411
distributor,distributor,distributeur,RI_412
originator,originator,créateur,RI_413
pointOfContact,pointOfContact,contact,RI_414
principalInvestigator,principalInvestigator,chercheurPrincipal,RI_415
processor,processor,traiteur,RI_416
publisher,publisher, éditeur ,RI_417
author,author,auteur,RI_418
collaborator,collaborator,collaborateur,RI_419
editor,editor,réviseur,RI_420
mediator,mediator,médiateur,RI_421
rightsHolder,rightsHolder,détenteurDroits,RI_422
businessExpert,pointOfContact,contact,RI_414
