original_value,real_value_english,real_value_french,code_value
_default_tag_value_,society_and_culture,,
address,society_and_culture,,
agriculture and food,agriculture,,
alternate species,nature_and_environment,,
annual report,ignore,,
arts and culture,arts_music_literature,,
arts and culture,society_and_culture,,
beef,agriculture,,
benefits,economics_and_industry,,
breeding,nature_and_environment,,
business and economy,economics_and_industry,,
calving,nature_and_environment,,
cantor,society_and_culture,,
cantor,persons,,
carpool,transport,,
cases,health_and_safety,,
child care,society_and_culture,,
citizen science,nature_and_environment,,
clergy,society_and_culture,,
clergy,persons,,
commute,transport,,
coronavirus,health_and_safety,,
correctional institutions,law,,
corrections,law,,
cost,economics_and_industry,,
covid,health_and_safety,,
covid-19,health_and_safety,,
covid-19 testing locations,health_and_safety,,
credits,economics_and_industry,,
credits,government_and_politics,,
culture and recreation,arts_music_literature,,
culture and recreation,society_and_culture,,
culture et loisirs,arts_music_literature,,
culture et loisirs,society_and_culture,,
dairy,agriculture,,
denning,nature_and_environment,,
dépistage de la covid-19,health_and_safety,,
détenus,law,,
diesel,economics_and_industry,,
données ontario,ignore,,
driving and roads,transport,,
écoles,education_and_training,,
économie et affaires,economics_and_industry,,
economy and business,economics_and_industry,,
education and training,education_and_training,,
éducation et formation,education_and_training,,
elder,ignore,,
elderly,society_and_culture,,
élémentaire,education_and_training,,
elementary,education_and_training,,
emrb,ignore,,
energy,economics_and_industry,,
environment,nature_and_environment,,
environment and energy,nature_and_environment,,
environment and energy,science_and_technology,,
environment and energy,economics_and_industry,,
environment and natural resources,nature_and_environment,,
environment and natural resources,science_and_technology,,
environment and natural resources,economics_and_industry,,
environnement et énergie,nature_and_environment,,
environnement et énergie,science_and_technology,,
environnement et énergie,economics_and_industry,,
environnement et richesses naturelles,nature_and_environment,,
environnement et richesses naturelles,science_and_technology,,
environnement et richesses naturelles,economics_and_industry,,
établissements correctionnels,law,,
état,government_and_politics,,
fair market value,economics_and_industry,,
fawning,nature_and_environment,,
feeding,nature_and_environment,,
fisheries,economics_and_industry,,
fishing,nature_and_environment,,
forest management planning,nature_and_environment,,
fuel,economics_and_industry,,
gasoline,economics_and_industry,,
general habitat,nature_and_environment,,
gouvernement,government_and_politics,,
gouvernement et finances,government_and_politics,,
gouvernement et finances,economics_and_industry,,
government,government_and_politics,,
government and finance,government_and_politics,,
government and finance,economics_and_industry,,
guaranteed annual income system,economics_and_industry,,
