tag_value,isotopic_tbs,isotopic_hnap
_default_tag_value_,society,society
address,location,location
agriculture and food,farming,farming
agri-food trade,farming,farming
agri-food trade,economy,economy
alternate species,biota,biota
annual report,ignore,ignore
apple production,farming,farming
arts and culture,society,society
asparagus production,farming,farming
bean production,farming,farming
beef,farming,farming
beet production,farming,farming
benefits,economy,economy
breeding,biota,biota
broccoli production,farming,farming
business and economy,economy,economy
cabbage production,farming,farming
calving,biota,biota
cantor,society,society
carpool,transport,transport
carrot production,farming,farming
cases,health,health
cattle exports,farming,farming
cattle exports,economy,economy
celery production,farming,farming
census of agriculture,farming,farming
census of agriculture,economy,economy
child care,society,society
citizen science,society,society
clergy,society,society
commercial fruit crops production,farming,farming
commercial vegetable crops production,farming,farming
commute,transport,transport
coronavirus,health,health
correctional institutions,society,society
corrections,society,society
cost,economy,economy
covid,health,health
covid-19,health,health
covid-19 testing locations,health,health
credits,economy,economy
cucumber production,farming,farming
culture and recreation,society,society
culture et loisirs,society,society
dairy,farming,farming
dairy production,farming,farming
denning,biota,biota
dépistage de la covid-19,health,health
détenus,society,society
diesel,economy,economy
diesel,transport,transport
diesel,utilities_communication,utilitiesCommunication
données ontario,ignore,ignore
driving and roads,transport,transport
écoles,society,society
économie et affaires,economy,economy
economy and business,economy,economy
education and training,society,society
éducation et formation,society,society
egg production,farming,farming
elder,society,society
elderly,society,society
élémentaire,society,society
elementary,society,society
emrb,ignore,ignore
energy,utilities_communication,utilitiesCommunication
environment,environment,environment
environment and energy,environment,environment
environment and energy,utilities_communication,utilitiesCommunication
environment and natural resources,economy,economy
environment and natural resources,environment,environment
environnement et énergie,environment,environment
environnement et énergie,utilities_communication,utilitiesCommunication
environnement et richesses naturelles,economy,economy
environnement et richesses naturelles,environment,environment
établissements correctionnels,society,society
état,society,society
exportations de bovins,farming,farming
exportations de bovins,economy,economy
fair market value,economy,economy
farm data by county,farming,farming
farm data by county,economy,economy
farm expenses,farming,farming
farm expenses,economy,economy
farm income,farming,farming
farm income,economy,economy
fawning,biota,biota
feeding,biota,biota
field crop production,farming,farming
fisheries,biota,biota
fisheries,economy,economy
fisheries,environment,environment
fisheries,planning_cadastre,planningCadastre
fishing,economy,economy
forest management planning,economy,economy
forest management planning,environment,environment
forest management planning,planning_cadastre,planningCadastre
fruit and vegetable production,farming,farming
fruit production and yield,farming,farming
fuel,economy,economy
fuel,transport,transport
gasoline,economy,economy
gasoline,transport,transport
gdp,economy,economy
general habitat,biota,biota
gouvernement,society,society
gouvernement et finances,economy,economy
gouvernement et finances,society,society
government,society,society
government and finance,economy,economy
government and finance,society,society
government payments to farmers,farming,farming
government payments to farmers,economy,economy
grain corn,farming,farming
green pea production,farming,farming
guaranteed annual income system,economy,economy
health,health,health
health and wellness,health,health
home and community,society,society
honey production,farming,farming
hôpitaux,health,health
hospital,health,health
housing communities and social support,society,society
imam,society,society
impôt sur le revenu,economy,economy
impôts et avantages fiscaux,economy,economy
impôts et avantages fiscaux,society,society
income tax,economy,economy
infrastructure and transportation,transport,transport
infrastructure et transport,transport,transport
inland lakes,inland_waters,inlandWaters
inmates,society,society
jobs and employment,economy,economy
junior,ignore,ignore
justice and public safety,society,society
lacs,inland_waters,inlandWaters
lakes,inland_waters,inlandWaters
lamb,farming,farming
law and safety,society,society
livestock,farming,farming
livestock numbers,farming,farming
local food,farming,farming
local food,society,society
logement collectivités et soutien social,society,society
lois et sécurité,society,society
manufacturing industries,economy,economy
maple syrup production,farming,farming
mariage,society,society
market value,economy,economy
marriage,society,society
marriage officiant,society,society
migration,ignore,ignore
minister,society,society
missing persons,society,society
mushroom production,farming,farming
natural gas,geoscientific_information,geoscientificInformation
natural gas,utilities_communication,utilitiesCommunication
nesting birds,biota,biota
nesting reptiles,biota,biota
nesting site,biota,biota
northern health programs,health,health
nurse,health,health
nurseries,ignore,ignore
nursery,ignore,ignore
officiant,society,society
old age security,society,society
onion production,farming,farming
ontario fruit and vegetables,farming,farming
ontario greenhouse vegetable production,farming,farming
opp annual report,ignore,ignore
owb,ignore,ignore
parking lots,structure,structure
parking lots,transport,transport
pastor,society,society
payroll deduction,economy,economy
payroll deduction,society,society
pepper production,farming,farming
personnes âgées,society,society
phone number,society,society
pig exports,farming,farming
pig exports,economy,economy
potato production,farming,farming
poultry,farming,farming
poultry production,farming,farming
prestations,economy,economy
prêtre,society,society
prices,economy,economy
priest,society,society
production des betteraves,farming,farming
production des citrouilles,farming,farming
production des épinards,farming,farming
production des légumes de serre en ontario,farming,farming
production des poivrons,farming,farming
production des radis,farming,farming
production des rutabagas,farming,farming
production des tomates,farming,farming
production du maïs sucré,farming,farming
program funding,economy,economy
propane,economy,economy
propane,utilities_communication,utilitiesCommunication
puits,economy,economy
puits,geoscientific_information,geoscientificInformation
puits,structure,structure
pumpkin production,farming,farming
rabbi,society,society
radish production,farming,farming
rates,ignore,ignore
recensement de l'agriculture,farming,farming
recensement de l'agriculture,economy,economy
régions rurales et du nord,society,society
regulations,society,society
resting,ignore,ignore
reverend,society,society
rules,society,society
rural and north,society,society
rutabaga production,farming,farming
santé,health,health
santé et bien-être,health,health
schools,society,society
secondaire,ignore,ignore
secondary,ignore,ignore
sécurité de la vieillesse,society,society
sécurité de la vieillesse,economy,economy
seed collection,farming,farming
seed deployment,farming,farming
seed zone,planning_cadastre,planningCadastre
seniors,society,society
services correctionnels,society,society
sheep,farming,farming
sikh,society,society
spinach production,farming,farming
staging,ignore,ignore
status,ignore,ignore
sweetcorn production,farming,farming
swine,farming,farming
taux,ignore,ignore
taxes,economy,economy
taxes,society,society
taxes and benefits,economy,economy
taxes and benefits,society,society
testing,ignore,ignore
tests,ignore,ignore
tomato production,farming,farming
travail et emploi,economy,economy
travel,ignore,ignore
travel and recreation,society,society
travel corridor,biota,biota
tree seed,biota,biota
underserviced area programs,society,society
urgent demands for records,ignore,ignore
values,ignore,ignore
volailles,farming,farming
water,environment,environment
water quality,environment,environment
watershed,inland_waters,inlandWaters
wedding,society,society
wells,economy,economy
wells,geoscientific_information,geoscientificInformation
wells,structure,structure
wildlife,biota,biota
wintering,biota,biota
