original_sector_value,hnap_sector_value,graphic_link,fgp_publish,jurisdiction
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Attorney General,Attorney General,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
"Children, Community and Social Services","Children, Community and Social Services",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Colleges and Universities,Colleges and Universities,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
"Economic Development, Job Creation and Trade","Economic Development, Job Creation and Trade",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Education,Education,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
"Energy, Northern Development and Mines","Energy, Northern Development and Mines",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
"Environment, Conservation and Parks","Environment, Conservation and Parks",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Finance,Finance,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Francophone Affairs,Francophone Affairs,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Government and Consumer Services,Government and Consumer Services,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Health,Health,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
"Heritage, Sport, Tourism and Culture Industries","Heritage, Sport, Tourism and Culture Industries",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Infrastructure,Infrastructure,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
"Labour, Training and Skills Development","Labour, Training and Skills Development",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Long-Term Care,Long-Term Care,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Municipal Affairs and Housing,Municipal Affairs and Housing,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Natural Resources and Forestry,Natural Resources and Forestry,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Seniors and Accessibility,Seniors and Accessibility,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Solicitor General,Solicitor General,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Transportation,Transportation,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Treasury Board Secretariat,Treasury Board Secretariat,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Women's Issues,Women's Issues,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Cabinet Office,Cabinet Office,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
Government of Ontario,Government of Ontario,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/on/ontario.png,Oui,provincial
