tagname,language
aborginal labour force,eng
aboriginal,eng
aboriginal identity,eng
accident,eng
accidents,fra
accommodations and meals,
achèvements,fra
activité physique,fra
activités,fra
activity,eng
address,eng
address ranges,eng
admissions,eng
adresse,fra
adult psychological well- being,eng
aéronefs,fra
affaires de traite de personnes,fra
age,eng
âge,fra
âgé,fra
age group,eng
age of mother,eng
agrées,fra
agression,eng
air photo,eng
aircraft,eng
alcoholic beverages,eng
aliment,eng
alzheimer's,eng
année d'études,fra
année scolaire,fra
annual,eng
annual indicators,eng
ans,fra
application,eng
apprenticeship program,eng
apprenticeship programs,eng
archives,eng
arrêts de travail,fra
assault,eng
assessment,eng
assistant professor,eng
associate professor,eng
autobus de passagers,eng
autochtones,fra
autres dépenses,fra
avantages non salariaux,fra
average expected useful life,
average hourly earnings,eng
average scores,eng
baby,eng
base,eng
bassin versant,fra
bear,eng
bébé,fra
bedrock,eng
besoins de l'entreprise,fra
bia,eng
bien-être psychologique adulte,fra
birth,eng
birth by month,eng
births,eng
body mass index,eng
boire de l'eau,fra
bois,fra
boissons alcoolisées,fra
boundaries,eng
building permits,eng
business,eng
business needs,eng
cadastral,eng
cadastrale,fra
camion commercial,fra
canada,eng
canada mortgage and housing corporation,eng
canadian citizens,eng
cancer,fra
cannabis,fra
carburant diesel,fra
care of children,eng
care work,eng
carte,fra
cause de décès,fra
cause of death,eng
ccn,eng
cemeteries,eng
census,eng
central business district,eng
centre de service,fra
centre ville,fra
cerfs de virginie,fra
certaines statistiques de la criminalité,fra
chaleur,fra
champs de captage,fra
cimetières,fra
circonscription,eng
circulant,fra
citizenship,eng
citoyen canadien,fra
citoyenneté,fra
closures,eng
commerce de détail,fra
commerce de gros,fra
commercial truck,eng
community boundaries,eng
completions,eng
components,eng
composantes,fra
compostage,fra
composting,eng
comté,fra
congé,fra
conservation,eng
consommation,fra
consumer,eng
consumer price index,eng
coordinate transformations,eng
coordinates,eng
corporate registry,eng
correctional services,eng
cote altimétrique,fra
county,eng
couple families,eng
couples avec enfants,fra
couples with children,eng
covid-19,eng
crime and justice,eng
crime severity index,eng
croissance démographique,fra
crown land,eng
csnb,eng
current smoker,eng
daily average hours,eng
daily or occasional,eng
death,eng
deaths,eng
décès,fra
déclarées par la police,fra
deer,eng
demographic,eng
demographic growth,eng
démographique,fra
densité,fra
density,eng
dépenses,fra
dépenses alimentaires,fra
dépenses de recherche et développement,fra
dépenses des ménages,fra
dépenses intérieures totales,fra
d'équipements de protection individuelle,fra
diabète,fra
diabetes,eng
diesel fuel,eng
diseases of heart,eng
display_name,language
disposal of waste,eng
district,eng
district scolaire,eng
districts de services locaux,fra
diversité,fra
diversity,eng
divorce rates,eng
domaine d'étude,fra
downtown,eng
dpm,eng
drainage,eng
drillhole,eng
drivers exam,eng
dtm,eng
durée de vie utile,fra
durée de vie utile moyenne prévue,fra
earnings,eng
eau,fra
écart salarial,fra
ecodistrict,eng
ecole,fra
école,fra
école publique,fra
economic dashboard,eng
economic families,eng
economic recovery dashboard,eng
ecoregion,eng
ecosection,eng
édition musicale,fra
education,eng
éducation,fra
éducation secondaire,fra
election,eng
élection,fra
elections,eng
élections,fra
electric power,eng
electricity generation,eng
elevation,eng
élévation,fra
élimination des déchets,fra
embonpoint,fra
emploi,fra
employé,fra
employed,eng
employed women with children,eng
employees,eng
employees in management,eng
employers,eng
employés,fra
employés en gestion,fra
employés salariés,fra
employeurs,fra
employment,eng
employment rate,eng
en construction,fra
engrais,fra
enquête nationale auprès des ménages (enm),fra
enregistrement sonore,fra
entreprises,fra
entreprises appartenant à des femmes par province,fra
épargne pour études postsecondaires,fra
équipement de protection individuelle,fra
essence,fra
estimates,eng
estimations,fra
estimations financières,fra
établissements résidentiels,fra
états-unis,fra
évaluation,fra
examen de conduite,fra
expected useful life,eng
expéditions,fra
expenditures on research and development,eng
exploration minière,fra
faculty and teachers,eng
faible revenu et inégalité,fra
familles économiques,fra
family and personal income,eng
family size,eng
family types,eng
farm land,eng
faune,fra
federal,eng
fédéral,fra
fédérale,fra
federated,eng
fédérée,fra
female,eng
female population,eng
female victims,eng
females 15-19 years,eng
féminin,fra
femme,fra
femmes 15 - 19,fra
femmes employées avec enfants,fra
femmes victimes,fra
fériés,fra
fermetures,fra
ferroviaire,fra
ferroviaires,fra
fertility rates,eng
fertilizer,eng
field of study,eng
financial estimates,eng
fishing,eng
flood risk,eng
foncière,fra
fond de la mer,fra
food,eng
food services and drinking places,eng
food spending,eng
force de travail,fra
forest,eng
forêt,fra
formation et apprentissage,fra
foyer,fra
frais de scolarité,fra
frais de subsistance,fra
french immersion,eng
full professor,eng
fumeur actuel,fra
fundy,eng
gas,eng
gasoline and fuel oil,eng
gdp,eng
gender,eng
gender-based violence,eng
gendre,eng
généalogique,fra
genealogy,eng
géologie,fra
geology,eng
geonb,eng
gestational age,eng
gisements minéraux,fra
gouvernements locaux,fra
government student loans,eng
grade,eng
granulés de bois,fra
grid,eng
grille,fra
gross domestic product,eng
grossesse,fra
health,eng
heures consacrées au travail domestique,fra
holiday,eng
home,eng
homeless shelter,eng
hôpitaux,fra
hospitals,eng
hours spent on domestic work,eng
household,eng
household chores,eng
household spending,eng
housing starts,eng
human trafficking,eng
hypothèques,fra
identité autochtone,fra
image raster,eng
immatriculations,fra
immersion française,fra
immigrant status,eng
immigration,fra
impact,eng
imposition,fra
incidents autodéclarés,fra
incidents non signalés à la police,fra
incidents not reported to police,fra
incidents reported to police,eng
incidents signalés à la police,eng
income,eng
income statistics,eng
index,eng
indian,eng
indicateurs annuels,fra
indice,fra
indice de gravité de la criminalité,fra
indice de masse corporelle,fra
indice des prix,fra
indice des prix à la consommation,fra
indigenous,eng
industrial product,eng
inland,eng
inscriptions postsecondaires,fra
inspection,fra
intérieures,fra
international d'évaluation des élèves,fra
international migration,eng
international student assessment,eng
international travellers,eng
interprovincial migration,eng
investissements publics et privés,fra
ipln,eng
itinerant,fra
itinérants,fra
job training,eng
job vacancies,eng
job vacancy rate,eng
jours,fra
justice,eng
la criminalité,fra
la haute direction,fra
la pauvreté,fra
la violence sexiste,fra
labour,eng
labour force,eng
labour force status,eng
labour standards,eng
lac,fra
l'âge de la mère,fra
l'agression sexuelle,fra
lake,eng
land use,eng
langue officielle,fra
laquelle l'indice des prix des logements neufs,fra
l'automutilation,fra
layoffs,eng
l'éducation post-secondaire,fra
l'électricité,fra
l'entreprise,fra
les femmes en gestion,fra
l'essence et du mazout,fra
licensed,eng
lidar,fra
limites,fra
limites des communautés,fra
limits,eng
l'industrie ferroviaire,fra
liver disease,eng
living expenses,eng
local government,eng
local service districts,eng
locaux,fra
logement et repas,fra
lone-parent families by sex of parent,eng
low income and inequality,eng
lumber production,eng
l'utilisation des terres,fra
lyme disease,eng
maladie de lyme,fra
maladie du coeur,fra
maladie du foie,fra
male,eng
management occupations,eng
map,eng
mariage,fra
mariages,fra
marriage,fra
marriages,fra
masculin,fra
materials diverted,eng
matériaux détournés,fra
ménage,fra
ménage privé,fra
migration internationale,fra
migration interprovinciale,fra
militaires,fra
military,eng
mineral,eng
mineral deposits,eng
mineral exploration,eng
minérales,fra
minerals,eng
mining,eng
minister,eng
ministre,fra
mises à pied,fra
mises en chantier,fra
mnt,fra
model,eng
modèle,fra
mois,fra
month,eng
moose,eng
mort de route,fra
mortalité,fra
mortality,eng
mortgage,eng
motor vehicle,eng
moyenne journalière,fra
municipal,eng
municipalité,fra
municipality,eng
music publishing,eng
naissance,fra
naissance selon le mois,fra
naissances,fra
names,eng
national,eng
national household survey (nhs),eng
natural,eng
naturelles,fra
nb,eng
nbhc,eng
nbhn,eng
ncb,eng
ne pas chercher de travail,fra
network,eng
new brunswick,eng
New Brunswick data,eng
new housing price index,eng
new motor vehicle,eng
nhpi,eng
niveau scolaire,fra
nom,fra
nombre de naissances vivantes,fra
non résidents,fra
non-immigrants,fra
non-permanent residents,eng
non-resident,fra
non-wage benefits,eng
normes du travail,fra
northumberland,eng
not canadian citizens,eng
not looking for work,
notes moyennes,fra
nouveau-brunswick,eng
nouveaux actifs publics de transport en commun,fra
nrwn,eng
ntv2,eng
nuage de points,fra
nuisance,eng
number of live births,eng
number of new cases,eng
nursing,eng
obese,eng
obèse,fra
official language,eng
offshore,eng
oil,eng
openings,eng
orignial,eng
other expenses,eng
ours,eng
ouvertures,fra
overweight,eng
paid by the hour,eng
paid work activities,eng
pailles,fra
pan,fra
par année de mariage,fra
parc,fra
parcel,eng
parcelle,fra
parcelles,fra
parcels,eng
parent seul,fra
parish,eng
park,eng
paroisse,fra
participation rate,eng
passenger bus,eng
payroll employees,eng
peat,eng
peatland,eng
pêche,fra
pensions,eng
percentage of female population,eng
percentage of women,eng
performing sector,eng
permis de bâtir,fra
personal care,eng
personal income,eng
personal protective equipment,eng
personnel de police,fra
personnes à faible revenu,fra
persons in low income,eng
pesticides,fra
petroleum,eng
pétrolières,fra
photo aérienne,fra
physical activity,eng
pib,eng
pipeline,eng
plastic,eng
plastique,fra
plastiques à usage unique,fra
pna,eng
poids,fra
point cloud,eng
police personnel,eng
police-reported,eng
police-reported intimate partner  violence,eng
populaire,fra
popular,eng
population,eng
population active,fra
population active autochtone,fra
population and demography,eng
population féminine,fra
post secondaire,fra
post secondary enrollments,eng
postes vacants,fra
post-secondary,eng
