uuid,spatial_representation_type
61aede20-25f0-f691-3b6a-2a42734cfa23,Vector
dc813323-7d29-709e-ee4c-61656e48672d,Vector
f069e3ec-3ecc-4187-5524-8d1ccdf02dc2,Vector
940dbcc9-b9ac-1d9a-ab63-cfdd98e4e105,Vector
33e8010b-8c25-3898-6885-bf0a64a897bd,Vector
ca134134-21a6-8849-206e-1988e5a6361f,TextTable
efc6d40d-284c-b73d-76b9-a955c2d28abd,TextTable
1ea8c30a-1ba7-8eeb-daff-aa32874a73e5,TextTable
caf3aa6a-8c94-8d37-2174-16c7774172fb,TextTable
6fe76933-cfc6-acab-e4e1-f5b84a3626cc,TextTable
00e1c7ce-0ee9-0e28-b7ca-4efb81cc98e6,TextTable
c8210047-f5c3-430f-cfce-010d182ad42c,TextTable
83622c54-546e-1b88-98d3-4b026e8b3b7f,TextTable
9aae6b89-82cc-1c64-0898-f7404ef317d2,TextTable
e9aaf0ce-a9b4-5d52-d843-88d20593cea1,TextTable
