id,spatial_representation_type
0236fc20-1805-5477-9d34-1cadac7b6c28,textTable
64dc8040-33ab-8040-3d8e-359e7a2871ea,textTable
b25b1dca-723f-2cc5-2213-a1bfef81f44c,textTable
92e0c403-ab1d-deaf-f27f-e414b70955e1,textTable
96270a61-0de3-12f7-20b4-9288d18a63e1,textTable
98896179-a7d5-575c-a9dd-77b086f0418c,textTable
a8a09506-92b5-54a1-940f-94abf1fc1800,textTable
e8e5f519-39c8-f072-0046-3a5996c29c64,textTable
91849d71-b7db-9828-cf85-32c8aee5d22c,textTable
32148f7d-4f94-3540-ff46-15eeb4ebadf7,textTable
ac8f5593-efd1-862f-740c-3b75ea62742d,vector
5d535c5b-d191-31cd-60cd-5cd466570b25,textTable
672f5c2b-ec1d-3fc0-240d-404694d08f31,textTable
1cf0d4f1-e374-5590-23cd-2a3d30cd8194,textTable
9da05d97-5016-5694-ddb0-dac97fbef193,textTable
ab136214-5bc8-f8d6-a745-0fe5b6471886,textTable
4d7a7d3e-f1e5-b72a-fc5a-db359d5eeeb4,textTable
baf4c313-3da9-d803-7554-ce73a65d9de4,textTable
efda1ae6-e4fa-0618-eaeb-0af67e56cfc7,textTable
798d4f59-128d-4c41-a20c-3c90d429ee64,textTable
352943ba-62a3-fa95-a16b-0e5c718de591,textTable
14c7aac4-b9ec-33ee-293c-d5c01ee6bd84,textTable
77b6fe57-9719-331a-0546-ffd20e0bc20f,textTable
9ff635e9-757b-872a-0f77-760cca8694d8,textTable
2befbff1-28a9-70e3-bcb4-57d9fe8cb267,textTable
d550a204-638c-e199-76fc-c70f4d837d8b,textTable
3554caa8-2cf3-4ab1-356f-41fadebdd75a,textTable
8aeb9895-5502-0c00-b1c7-33f430edffc9,textTable
b791736c-2506-62e8-958a-a386524ee12c,textTable
e8c53142-d998-d335-0bc0-61fc32326a64,textTable
8d224474-9911-7d21-615a-f696615c9476,textTable
69c10a10-22a0-1526-29db-37782bb90839,textTable
f6cda536-bb8e-aff1-820e-9c1536d8bdff,textTable
f11e0009-00c9-11b3-4227-a073f914bd41,textTable
118be2fc-2cc9-e9f6-65d5-21f5d33e27b2,textTable
84bd0de8-1b1e-1a30-a7cf-24ab2132249e,textTable
72bfbc9f-142a-9c4b-dd23-865b175d2b9e,textTable
17dd83f8-27dc-a753-a0dd-c10e8392b52f,textTable
c1740f4b-fc50-f7a8-11f8-8c5cb28a891c,textTable
e5ae3540-bcae-0885-7db9-7feb437dad7d,textTable
a09b04a5-94ec-d535-b4c8-c727f304c0c6,textTable
30b0bcea-bc2e-906c-dfce-20252503b509,textTable
7f5f6eac-2a1f-c74e-7244-13af6b26259c,textTable
9788bd28-226b-42d0-6613-4154cbb543de,textTable
d60810d4-c9f8-1963-6312-21fdc942e8e9,textTable
4086fe4c-6f53-285c-a695-81f6620c4e4e,textTable
5be76d6c-398c-63d6-969f-9dbeea7cbd7e,textTable
