location,east_bound_longitude,north_bound_latitude,south_bound_latitude,west_bound_longitude
autre,-57,62.6,45,-79.6
cm-montreal,-73.46,45.72,45.36,-74
mrc-argenteuil,-74.2,45.8,45.4,-74.6
mrc-arthabaska,-71.44,46.34,45.78,-72.34
mrc-becancour,-71,46.5,46,-73
mrc-charlevoix,-71.4,47.7,47.5,-71.8
mrc-dautray,-72.9,46.6,45.84,-73.57
mrc-drummond,-72.07,46.1,45.57,-72.87
mrc-nicolet-yamaska,-72.15,46.3,46,-73
mrc-portneuf,-71.6,46.9,46.5,-72
nord-quebec,-63.37,62.64,49,-79.55
province-quebec,-57,62.6,45,-79.6
quebec-meridional,-64.6,49,45,-79
ville-blainville,-73.73,45.82,45.57,-73.94
ville-gatineau,-75.33,45.6,45.37,-75.91
ville-laval,-73.51,45.7,45.5,-73.9
ville-longueuil,-73.33,45.59,45.41,-73.53
ville-montreal,-73.46,45.72,45.36,-74
ville-quebec,-71.12,46.99,46.69,-71.62
ville-repentigny,-73.27,45.94,45.69,-73.58
ville-rimouski,-67.94,48.54,47.86,-69
ville-rouyn-noranda,-78.2,48.59,47.68,-79.53
ville-saint-hyacinthe,-72.82,45.72,45.55,-73.1
ville-saint-jean-sur-richelieu,-73.16,45.41,45.23,-73.41
ville-saguenay,-70.7392795792697,48.5357014132498,48.2927456270785,-71.5389470757957
ville-shawinigan,-72.53,46.92,46.38,-73.19
ville-sherbrooke,-71.79,45.54,45.25,-72.15
ville-levis,-71.01,46.84,46.5,-71.50
ville-trois-rivieres,-72.41,46.47,46.28,-72.78
