fgp_publish,format,spatial_type
Oui,3dm,b-vector
Oui,ArcInfo,b-vector
Non,BIN,
Non,CSV,c-textTable
Oui,DGN,b-vector
Oui,dgn,b-vector
Non,DOC,
Non,DOCX,
Oui,DWG,b-vector
Oui,dwg,b-vector
Oui,DXF,b-vector
Oui,dxf,b-vector
Non,ECW,
Non,excel,
Oui,FGBD,b-vector
Oui,fgdb,b-vector
Oui,FGDB,b-vector
Non,flv,
Non,FTP,
Non,ftp,
Non,GBFS,
Oui,GDB,b-vector
Oui,GeoJSON,b-vector
Oui,GeoTIF,a-grid
Oui,geotif,a-grid
Oui,GeoTIFF,a-grid
Oui,gml,b-vector
Oui,GPK,
Oui,GPKG,
Oui,gpkg,
Oui,grid,a-grid
Oui,Grid,a-grid
Oui,GTFS,c-textTable
Non,gtfs,
Non,HTML,
Non,ICS,
Non,JP2,
Non,JPEG,
Non,JSON,
Oui,KML,b-vector
Oui,KMZ,b-vector
Oui,LAZ,
Oui,LYR,b-vector
Non,MDB,
Non,ODP,
Non,ODS,
Non,ODT,
Non,other,
Non,PDF,
Oui,PGDB,
Non,PNG,
Non,QML,
Oui,REST,
Oui,RINEX,
Non,RSS,
Non,rtf,
Oui,SHP,b-vector
Oui,SHX,b-vector
Oui,skp,b-vector
Non,SQLITE,
Non,SQLite,
Non,TAB,
Non,tab,
Non,tif,
Non,TSV,
Non,TXT,
Oui,WCS,
Oui,WFS,
Oui,WMS,b-vector
Oui,WMTS,b-vector
Non,XLS,c-textTable
Non,XLSX,c-textTable
Non,XML,
Non,ZIP,
