source_date_extent,data_collection_start_date,data_collection_end_date
-1500-01-01/2016-09-26,1500-01-01,2016-09-26
3 juin 2024,2024-06-03
6 mars 2023,2023-03-06
19 mars 2024,2024-03-19
8 décembre 2023,2023-12-08
26 juillet 2024,2024-07-26
48 heures,0001-01-01
1970 à 1983,1970-04-01,1983-03-31
1970 à aujourd'hui,1970-04-01
1981 à 1994,1981-04-01,1994-03-31
1985 à aujourd'hui,1985-04-01
1987-1988 / 2007 / 2015 / 2016,1987-04-01,2016-03-31
1990-1999 – 2002-2013,1990-04-01,2013-03-31
"1990-1999, 2000-2015 et 2011-2018",1990-04-01,2018-03-31
1991 à 2003,1991-04-01,2003-03-31
2008-11-01- (Aujourd'hui -2 jours),2008-11-01
2009-11-01/2025-11,2009-11-01,2025-11-30
2011 à 2019,2011-04-01,2019-03-31
2011-01-01 - Aujourd'hui,2011-01-01
2012-01-01 / à ce jour,2012-01-01
2012-08-01/à ce jour,2012-08-01
2012-08-23/à ce jour,2012-08-23
2012-09-05/à ce jour,2012-09-05
2012-2013 / 2021-2022,2012-04-01,2022-03-31
2012-2013/2021-22,2012-04-01,2022-03-31
2013-08-01/à ce jour,2013-08-01
2013-2014 / 2020-2021,2013-04-01,2021-03-31
2013-2014 et 2020-2022,2013-04-01,2022-03-31
2013-2014 / 2022-2023,2013-04-01,2023-03-31
2013-2014 / 2023-2024,2013-04-01,2024-03-31
2013-09-23 à dernière extraction,2013-09-23
2014-01-01/à ce jour,2014-01-01
2015-11-10/2015-11-24/2016-06-14,2015-11-10,2016-06-14
2015/01/24-2015/12/08,2015-01-24,2015-12-08
2015/06/24,2015-06-24
2016-11-01 / à ce jour,2016-11-01
2016-12-05 / Maintenant,2016-12-05
2017-01-01 / à ce jour,2017-01-01
2017-01-01/à ce jour,2017-01-01
2017-2018 à 2018-2019,2017-04-01,2019-03-31
2019-03-31 /2020-04-01,2019-03-31,2020-04-01
2019-04-01 à la dernière période financière terminée,2019-04-01,2023-03-31
2020-05-01T00:00:00,2020-05-01
2021-11-07/2025-11,2021-11-07,2025-11-01
2022-01-05 / maintenant,2022-01-05
2023/à ce jour,2023-04-01
2023 / à ce jour,2023-04-01
2023-3-31 au 2024-3-31,2023-03-31,2024-03-31
2023-04-01 2024-03-31,2023-04-01,2024-03-31
2023/03/30,2023-03-30
2023/06/29,2023-06-29
2023-6-30 au 2024-6-30,2023-06-30,2024-06-30
2023/07/24,2023-07-24
2023/10/30,2023-10-30
2023-12-01/à ce jour,2023-12-01
Adopté le 2021-08-23,2021-08-23
Adopté le 2022-11-29,2022-11-29
Adopté le 2022-12-19,2022-12-19
Adopté le 2023-06-12,2023-06-12
Adopté le 2023-11-20,2023-11-20
Adopté le 2023-12-18,2023-12-18
Adopté le 2024-02-19,2024-02-19
Adopté le 2024-05-13,2024-05-13
De 1975 à 2022,1975-04-01,2022-03-31
De 1975 à 2023,1975-04-01,2023-03-31
De 1975 à 2024,1975-04-01,2024-03-31
De 2007 à 2022,2007-04-01,2022-03-31
De 2007 à 2023,2007-04-01,2023-03-31
De 2007 à 2024,2007-04-01,2024-03-31
de 2010 à aujourd'hui,2010-04-01
Depuis 2017-04-01,2017-04-01
en vigueur depuis le 2015-01-21,2015-01-21
Entre 2010 et 2020,2010-04-01,2020-03-31
Incluant le RCG 14-029-5 (2023-04-14),2023-04-14
Avril 2024,2024-04-01
Février 2024,2024-02-01
Janvier 2024,2024-01-01
Juillet 2023,2023-07-01
Juin 2024,2024-06-01
Mai 2024,2024-05-01
Mars 2024,2024-03-01
None,0001-01-01
Octobre 2023,2023-10-01
Sept dernières années,2017-04-01
