original_sector_value,hnap_sector_value,graphic_link,fgp_publish,jurisdiction
AdMare,AdMare,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/AdMare.png,Non,municipal
Agence de mobilité durable,Ville de Montréal;Agence de mobilité durable,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/amd.png,Oui,municipal
ARTM,Autorité régionale de transport métropolitain,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/artm.png,Oui,provincial
Autorité des marchés publics,Autorité des marchés publics,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/amp.png,Oui,provincial
Bibliothèque et Archives nationales du Québec,Bibliothèque et Archives nationales du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Bixi Montréal,Ville de Montréal;Bixi-Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/bixi.png,Oui,municipal
Bureau du taxi de Montréal,Ville de Montréal;Bureau du taxi de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/taxi_montreal.png,Oui,municipal
Canards Illimités Canada,no name,No url,Non,provincial
CEFRIO,no name,No url,Non,provincial
Cefrio,Cefrio,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/cefrio.png,Oui,provincial
Circuit électrique,Circuit électrique,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/Circuit_electrique.png,Oui,provincial
Commerce Sherbrooke,Ville de Sherbrooke;Commerce Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/commerce_sherbrooke.png,Oui,municipal
