QC_value,TBS_topic,TBS_subject
agriculture-alimentation,farming,agriculture
economie-entreprises,economy,economics_and_industry
education-recherche,society,education_and_training
environnement-ressources-naturelles-energie,environment,nature_and_environment
gouvernement-finances,economy,government_and_politics
infrastructures,structure,society_and_culture
loi-justice-securite-publique,society,law
politiques-sociales,society,government_and_politics
sante,health,health_and_safety
societe-culture,society,society_and_culture
tourisme-sports-loisirs,society,society_and_culture
transport,transport,transport
unknown,society,society_and_culture
