uuid,spatial_representation_type
0d7c1c75-4a46-4a65-bf60-5f7847121055,textTable
160866f2-b0ef-4a8b-aafd-249090b6672a,textTable
1d7d1a92-7cba-438b-9e31-e98dedd2f0b8,textTable
24b1ff4e-f9d8-4ac2-a9fe-a2cd5c6c5b19,grid
332c8139-4d32-4825-9131-6dea1c7e6b68,textTable
446b4220-6928-42eb-8d95-da0c67f22bc8,grid
4a05016f-fa46-4b1d-94cf-ff45b4cb9391,grid
549a1076-94da-4163-b8ce-c6c5e97627ed,vector
57f56aa9-1284-42d0-8b1a-336e66cd6de9,grid
6555c320-77bf-4478-a3d2-c29733a7046c,grid
6920fb32-a36b-43f9-b3da-34532a512418,grid
73d3abac-12e2-4fac-81bd-b96007fde794,grid
74f2472e-5bb9-4d2d-8be5-0931c96eeeff,textTable
944e3221-f93e-41c3-a949-5c6b037fe7f2,textTable
94e0001f-98e6-4834-879f-dc7927c8ee55,textTable
cad5639a-437e-4cc2-adaf-62e4fccbbc30,grid
d023eed0-4e87-48da-9e9f-375dca06b8b5,textTable
d1829191-4639-498a-b9f8-9aed20b81f48,textTable
d1a6fd5e-3b65-46ee-a2bf-2c94f84e5f18,textTable
fd27a366-4664-45b1-aac0-65007c80db95,grid
f3e2f105-c464-4d95-89a8-6f851a5c4f7f,vector
11342940-3252-443d-a80d-eccbcc4c5e14,vector
