original_value,real_value,resource_type_fr,resource_type_en
3dm,other,dataset,dataset
application/msaccess,other,application,application
BIN,other,dataset,dataset
ca,other,application,application
csv (compressed - zip),ZIP,dataset,dataset
CSV,CSV,dataset,dataset
DGN,other,dataset,dataset
dgn,other,dataset,dataset
doc,DOC,guide,guide
docx,DOCX,guide,guide
dwg,other,dataset,dataset
DXF,DXF,dataset,dataset
dxf,DXF,dataset,dataset
ECW,ECW,dataset,dataset
excel,XLS,dataset,dataset
flv,other,dataset,dataset
GBFS,other,dataset,dataset
GTFS,other,dataset,dataset
gtfs,other,dataset,dataset
html,HTML,website,website
ICS,other,dataset,dataset
JPEG,JPG,dataset,dataset
JSON,JSON,dataset,dataset
ODP,ODP,dataset,dataset
ODS,ODS,dataset,dataset
ODT,ODT,dataset,dataset
other,other,dataset,dataset
PDF,PDF,guide,guide
PNG,PNG,dataset,dataset
QML,other,dataset,dataset
RSS,RSS,application,application
rdf,RDF,dataset,dataset
rtf,RTF,dataset,dataset
skp,other,dataset,dataset
SQLite,SQLITE,dataset,dataset
TAB,other,dataset,dataset
tif,TIFF,dataset,dataset
TSV,other,dataset,dataset
txt,TXT,dataset,dataset
text file,TXT,dataset,dataset
unknown,other,dataset,dataset
web,HTML,website,website
WFS,WFS,web_service,web_service
xls,XLS,dataset,dataset
xlsm,XLS,dataset,dataset
xlsx,XLSX,dataset,dataset
xml,XML,dataset,dataset
zip,ZIP,dataset,dataset
zip%20%20,ZIP,dataset,dataset
asp,other,dataset,dataset
pptx,PPTX,dataset,dataset
