fgp_publish,format,spatial_type
Non,application/msaccess,c-textTable
Non,application/pdf,
Oui,3dm,b-vector
Oui,ArcInfo,b-vector
Non,aspx,
Non,BIN,
Non,CSV,c-textTable
Non,data,
Oui,DGN,b-vector
Non,DOC,
Non,DOCX,
Oui,DWG,b-vector
Oui,DXF,b-vector
Oui,ECW,a-grid
Oui,ESRI REST,b-vector
Non,excel,c-textTable
Oui,FGDB,b-vector
Non,flv,
Non,FTP,
Non,GBFS,
Oui,GDB,b-vector
Oui,GeoJSON,b-vector
Oui,GeoTIF,a-grid
Oui,gml,b-vector
Oui,GPK,b-vector
Oui,GPKG,b-vector
Oui,grid,a-grid
Oui,GTFS,c-textTable
Non,home,
Non,htm,
Non,HTML,
Non,ICS,
Non,JP2,a-grid
Non,JPEG,a-grid
Non,JSON,b-vector
Oui,KML,b-vector
Oui,KMZ,b-vector
Oui,LAZ,b-vector
Oui,LYR,b-vector
Non,MDB,
Non,ODP,
Non,ODS,
Non,ODT,
Non,other,
Non,PDF,
Non,pdfcc-32,
Oui,PGDB,b-vector
Non,PNG,a-grid
Oui,qlr,b-vector
Non,qml,
Oui,REST,
Oui,RINEX,b-vector
Non,RSS,
Non,rtf,
Oui,SHP,b-vector
Oui,SHX,b-vector
Oui,skp,b-vector
Non,SQLITE,
Non,TAB,c-textTable
Non,tif,a-grid
Non,TSV,c-textTable
Non,txt,c-textTable
Oui,WCS,a-grid
Oui,WFS,b-vector
Oui,WMS,a-grid
Oui,WMTS,a-grid
Non,XLS,c-textTable
Non,XLSX,c-textTable
Non,XML,c-textTable
Non,ZIP,
Non,web,
Oui,fgbd,b-vector
Oui,geotiff,a-grid
non,xlsm,c-textTable
non,tiff,a-grid
Oui,arcgis,
Non,zip%20,
Non,zip%20%20,
oui,fgdb/gdb,b-vector
oui,ascii grid,a-grid
oui,flat raster binary,a-grid
non,others,
non,do#,
non,htlm,
non,https,
non,com,
oui,Yukon digital map data viewer,
oui,esri,
oui,vector digital,b-vector
oui,shapefiles,b-vector
