mime_type,format
application/json; charset=utf-8,JSON
application/json;charset=utf-8,JSON
application/octet-stream,other
application/pdf,PDF
application/vnd.openxmlformats-officedocument.wordprocessingml.document,DOCX
application/x-zip-compressed,ZIP
application/zip,ZIP
image/jpeg,JPG
text/csv; charset=utf-8,CSV
text/csv,CSV
text/html,HTML
text/html; charset=iso-8859-1,HTML
text/html; charset=ISO-8859-1,HTML
text/html; charset=utf-8,HTML
text/html; charset=UTF-8,HTML
text/html; charset=US-ASCII,HTML
video/mp4,OTHER
application/xml;charset=utf-8,XML
application/rdf+xml; charset=utf-8,XML
text/html;charset=utf-8,HTML
text/html;charset=UTF-8,HTML
text/tab-separated-values; charset=utf-8,HTML
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,XLSX
application/binary,HTML
