original_value,real_value_english,real_value_french,code_value
completed,completed,complété,RI_593
historicalArchive,historicalArchive,archiveHistorique,RI_594
obsolete,obsolete,périmé,RI_595
onGoing,onGoing,enContinue,RI_596
daily,onGoing,enContinue,RI_596
planned,planned,planifié,RI_597
required,required,requis,RI_598
underDevelopment,underDevelopment,enProduction,RI_599
proposed,proposed,proposé,RI_600
As needed,proposed,proposé,RI_600
complete,completed,complété,RI_593
Quarterly,planned,planifié,RI_597
One-time,completed,complété,RI_593
once,completed,complété,RI_593
Monthly,planned,planifié,RI_597
Bi-Annually,planned,planifié,RI_597
Annually,planned,planifié,RI_597
annual,planned,planifié,RI_597
asNeeded,proposed,proposé,RI_600
quinquennial,planned,planifié,RI_597
irregular,planned,planifié,RI_597
notPlanned,historicalArchive,archiveHistorique,RI_594
semiannual,planned,planifié,RI_597
continuous,onGoing,enContinue,RI_596
biennial,planned,planifié,RI_597
hourly,onGoing,enContinue,RI_596
weekly,planned,planifié,RI_597
other,proposed,proposé,RI_600
every 2 months,onGoing,enContinue,RI_596
