original_value,real_value_english,real_value_french,code_value
author,author,auteur,RI_418
businessExpert,pointOfContact,contact,RI_414
collaborator,collaborator,collaborateur,RI_419
custodian,custodian,conservateur,RI_409
datamanager,custodian,conservateur,RI_409
datasteward,custodian,conservateur,RI_409
distributor,distributor,distributeur,RI_412
editor,editor,réviseur,RI_420
mediator,mediator,médiateur,RI_421
originator,originator,créateur,RI_413
owner,owner,propriétaire,RI_410
pointOfContact,pointOfContact,contact,RI_414
principalInvestigator,principalInvestigator,chercheurPrincipal,RI_415
processor,processor,traiteur,RI_416
publisher,publisher, éditeur ,RI_417
resourceProvider,resourceProvider,fournisseurRessource,RI_408
rightsHolder,rightsHolder,détenteurDroits,RI_422
user,user,utilisateur,RI_411
