original_value,real_value_english,real_value_french,code_value
"arts, culture and history",society
aerial photography,geoscientific_information
agriculture,farming
agriculture-alimentation,farming
agriculture and agri-business,farming
Agriculture and Food,farming
biota,biota
business and economy,economy
business and industry,economy
communications,society
communities and social services,society
community services,society
crime and justice,society
Culture and Recreation,society
departmental views,society
economie-entreprises,economy
economy,economy
Economy and Business,economy
economy and finance,economy
education,society
education - adult and continuing,society
education - post - secondary and skills training,society
education - early childhood,society
Education - Early Childhood to Grade 12,society
education - kindergarten to grade 12,society
education - post-secondary and skills training,society
education - primary to grade 12,society
education-recherche,society
Education and Training,society
Education and Community,society
employment and labour,economy
energy and natural resources,environment
environment and energy,environment
Environment and Natural Resources,environment
Environment and Food,environment
environnement-ressources-naturelles-energie,environment
environment,environment
families and children,society
finance,economy
financial services,economy
fishing and aquaculture,farming
general,geoscientific_information
geonb,society
geoscientificinformation,geoscientific_information
gouvernement-finances,society
government,society
government administration,society
Government and Finance,economy
Government and Economy,economy
health and wellness,health
Health,health
Health and Home,health
health and safety,health
housing and utilities,society
Housing Communities and Social Support,society
immigration and migration,society
indigenous peoples,society
Infrastructure and Transportation,transport
infrastructures,economy
inland waters,inland_waters
internal government services,society
interprovincial and international affairs,society
justice,society
Justice and Public Safety,society
"lands, forests and wildlife",biota
laws and justice,society
location,location
loi-justice-securite-publique,society
metrics,geoscientific_information
mines and minerals,economy
municipalities,society
nature and environment,environment
natural resources,environment
permits and licensing,society
persons with disabilities,society
politiques-sociales,society
population and demography,society
population and demographics,society
procurement and contracts,economy
public accounts,society
public opinion research,society
public service,society
quarterly datasets,economy
"roads, driving and transport",transport
safety and emergency services,health
sante,health
"science, technology and innovation",geoscientific_information
seniors,society
senior executive expenses,economy
service,society
social services,society
societe-culture,society
society,society
society and communities,society
sports and recreation,society
tourisme-sports-loisirs,society
tourism & parks,society
Transportation,transport
transport,transport
unknown,society
