original_value,real_value_english,real_value_french,code_value
Annual,annually,annuel,RI_539
annually,annually,annuel,RI_539
Annually,annually,annuel,RI_539
archives,unknown,inconnu,RI_543
As needed,asNeeded,auBesoin,RI_540
as_required,asNeeded,auBesoin,RI_540
asNeeded,asNeeded,auBesoin,RI_540
biannually,biannually,semestriel,RI_538
biennial,biannually,semestriel,RI_538
continual,continual,continue,RI_532
Continually,continual,continue,RI_532
continuous,continual,continue,RI_532
current,continual,continue,RI_532
completed,notPlanned,nonPlanifié,RI_542
daily,daily,quotidien,RI_533
daily-nightly,daily,quotidien,RI_533
fortnightly,fortnightly,quinzomadaire,RI_535
historical,unknown,inconnu,RI_543
one-time,unknown,inconnu,RI_543
once,unknown,inconnu,RI_543
hourly,continual,continue,RI_532
irregular,irregular,irrégulier,RI_541
Irregular,irregular,irrégulier,RI_541
irregularly,irregular,irrégulier,RI_541
monthly,monthly,mensuel,RI_536
Monthly,monthly,mensuel,RI_536
never,notPlanned,nonPlanifié,RI_542
none,notPlanned,nonPlanifié,RI_542
None planned,notPlanned,nonPlanifié,RI_542
notPlanned,notPlanned,nonPlanifié,RI_542
on_demand,asNeeded,auBesoin,RI_540
ongoing,continual,continue,RI_532
other,unknown,inconnu,RI_543
Other,unknown,inconnu,RI_543
periodically,asNeeded,auBesoin,RI_540
quarterly,quarterly,trimestriel,RI_537
Quarterly,quarterly,trimestriel,RI_537
quinquennial,asNeeded,auBesoin,RI_540
semiannual,biannually,semestriel,RI_538
bi-annually,biannually,semestriel,RI_538
semimonthly,semimonthly,bimensuel,RI_544
triennial,asNeeded,auBesoin,RI_540
unknown,unknown,inconnu,RI_543
underdevelopment,unknown,inconnu,RI_543
weekly,weekly,hebdomadaire,RI_534
yearly,annually,annuel,RI_539
001,continual,continue,RI_532
010,irregular,irrégulier,RI_541
009,asNeeded,auBesoin,RI_540
every 2 months,continual,continue,RI_532
asneeded-monthly,irregular,irrégulier,RI_541
annually-asneeded-daily,irregular,irrégulier,RI_541
asneeded-irregular-notplanned,irregular,irrégulier,RI_541
asneeded-unknown,irregular,irrégulier,RI_541
asneeded-continual,irregular,irrégulier,RI_541
asneeded-fortnightly,irregular,irrégulier,RI_541
annually-monthly,irregular,irrégulier,RI_541
asneeded-daily,irregular,irrégulier,RI_541
asneeded-daily-weekly,irregular,irrégulier,RI_541
asneeded-daily-monthly,irregular,irrégulier,RI_541
asneeded-daily-notplanned,irregular,irrégulier,RI_541
asneeded-irregular,irregular,irrégulier,RI_541
asneeded-quarterly,irregular,irrégulier,RI_541
asneeded-notplanned,irregular,irrégulier,RI_541
asneeded-fortnightly-monthly,irregular,irrégulier,RI_541
annually-daily,irregular,irrégulier,RI_541
annually-asneeded,irregular,irrégulier,RI_541
annually-asneeded-monthly,irregular,irrégulier,RI_541
annually-asneeded-notplanned,irregular,irrégulier,RI_541
annually-notplanned,irregular,irrégulier,RI_541
continual-daily,irregular,irrégulier,RI_541
asneeded-biannually,irregular,irrégulier,RI_541
irregular-notplanned,irregular,irrégulier,RI_541
asneeded-weekly,irregular,irrégulier,RI_541
daily-monthly,irregular,irrégulier,RI_541
daily-weekly,irregular,irrégulier,RI_541
daily-irregular,irregular,irrégulier,RI_541
