id,spatial_representation_type
d1b42b50-e096-7790-3797-93b47c91af2a,grid
5854d67c-c8c9-a5f7-2ab2-cc6ac55e719b,grid
d2130abf-0d3e-9f31-11cc-1f72375e790b,grid
b05fa860-46f5-7c52-b698-84a355c83176,grid
74f3ff32-ad76-21f2-1a95-546f7dc69044,grid
83c93bdf-a602-fce0-9f77-9fd9be1b5c89,grid
3966f2f2-540f-9b14-d98b-c438f275ed77,grid
2387b2be-3f84-52c7-dfd7-f360be542b7c,grid
53bc86fb-a789-94ad-54ef-3e78f1bb2b66,grid
f70959ed-f7c4-09fc-e8b2-888088397622,grid
33af59da-349e-fa80-bc9c-914616838368,grid
1be93af2-3b47-ebcf-53fd-8a91c39eb4f4,grid
6dd7bd76-690e-6fcf-d510-7494c1413146,grid
13f2c45f-1a5a-801c-97a4-efa605d332ae,grid
75bfb942-2bf8-bbca-f34a-c13e13a0c4a5,grid
3ab12ea6-2dca-a201-57ac-53fc08408af1,grid
de6c5c78-0e8e-7204-f3ea-afe1c069099c,grid
7291b1c6-71c0-4516-673a-d01d954ba0c7,grid
ef4b5725-75d4-792f-263a-04415a0bbd88,grid
aa85e53a-552b-74fe-6838-b478bacbfd34,grid
ad8a462f-77a5-6c3f-f6b6-629145f7ce79,grid
2e37828e-62f3-7cf2-89ab-5d7d5ee2c033,grid
f7d68118-6ef8-a67e-dff3-800bd5b3672a,grid
f44101bf-bff0-dfec-7e1e-eb3f527186fa,grid
452a6af0-23fd-99db-3571-63114a79494f,vector
5d2147a9-ff8e-8dce-3902-1b143b097fef,vector
02aeedcd-9a7a-3b37-c349-bc440858127a,vector
abffc05c-02b3-575f-f043-195fcaae6cea,vector
ba4b60ae-1f2f-06ea-bcc9-1b5aa3563b2b,vector
88917456-a2c4-de0c-2c47-1dc9c09db13f,vector
948b2e0f-526f-ea55-6cce-d42a866f0b3b,vector
f093488e-66b7-82ba-a737-6b031229cd4e,vector
bd91449e-fb0e-6b93-23f9-b88e77c65a2a,vector
42d569d6-2b99-5207-27ed-997fed8747fd,vector
18652e45-7cc0-5d81-427e-421edba93726,vector
8240e67e-03f2-15cf-abe4-86794b819d29,vector
55fb99fb-3268-43a1-4c36-cf5a0348deb5,vector
5ca51e5a-b6a7-3bac-18e6-0ffa96768cde,vector
4a8925eb-5227-d9e6-2c8f-401b207f1240,vector
5cb2942e-4648-1e40-1b4a-c0817d02c5c9,vector
55e4c6d1-260a-6041-58ab-20f64ad0f72b
03b252dc-54ff-4da8-c8a6-6c3ef8082c93,vector
03f6508e-4e75-cc17-ab97-2f8dfc4c2b5b,vector
bb88080a-86bb-0f35-7722-3d9c40d62102,grid
e036f550-e32f-7cd1-98b4-d7ac1db71ce2,grid
14f5387a-202a-38b8-0fd9-cd5e3bcd133d,vector
d1dc2420-c16d-ad23-8da4-81aed2e58716,vector
cbe50068-0511-ebc9-d835-b498bdb77aa4,vector
3a6369f2-39f4-ee18-9de6-5dab994f1e68,vector
6e2471dd-8fe2-12b4-9e0c-33cfa249b604,vector
7722c6f0-8c09-f479-0e6b-28911f7c223d,grid
0da6e430-41a4-9fcd-0ea2-f9d08f70619e
29b35e96-65d5-d56d-de8b-10007ea30dd0,vector
50997edb-ca78-68d4-6798-33596dcf5fdb,vector
49d54bcc-bca9-a7c9-ce72-a2108d34fc12,vector
9d44a675-8dc4-9960-83a5-2fc04aeb4c70,vector
302ebf78-b24c-c8f0-ceed-f75f302a7df7,vector
6d57332a-1581-e87c-6712-71f7b119473b,vector
84f9755f-ecef-96a1-02da-acb64a63ff85,vector
b00ed0af-5933-6f6b-be84-cb60cee2beab,vector
2afa0fb9-6308-929e-bcfa-14a3d4f4de9b,vector
581daa4d-0883-3c58-ee6e-94d5a0a758e5
293ea0b1-1262-6eb5-b936-811d567033f9,textTable
22721333-4639-96f0-516e-058c1aec8ca9,vector
