id,notes
fc931b568734dcba23b5283faac5432,"Gross biological volume - softwood (GBVSWD) is an expression of in-the-tree stem softwood volume (m3) on a per-hectare basis. Calculated from the ground to the tip. Available here as a raster (GeoTIF) with a 20 m pixel resolution.
The Saskatchewan Ministry of Environment, Forest Service Branch, has developed a forest resource inventory (FRI) which meets a variety of strategic and operational planning information needs for the boreal plains. Such needs include information on the general land cover, terrain, and growing stock (height, diameter, basal area, timber volume and stem density) within the provincial forest and adjacent forest fringe. This inventory provides spatially explicit information as 10 m or 20 m raster grids and as vectors polygons for relatively homogeneous forest stands or naturally non-forested areas with a 0.5 ha minimum area and a 2.0 ha median area. 
Gross biological volume per hectare - softwood (GBVSWD) is an expression of in-the-tree stem softwood volume (m3) on a per-hectare basis. Calculations are made from the ground to the tip. GBVSWD is available here as a color-mapped 16-bit unsigned integer raster grid in GeoTIFF format with a 20 m pixel resolution. An ArcGIS Pro layer file (*.lyrx) is supplied for viewing GBVSWD data in the following 50 m3/ha categories."
ba3957c1-019f-4032-8d7a-dac9ffcf3b24,"This map service provides access to the Geophysical Survey Index datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service provides access to the Geophysical Survey Index datasets shown on the GeoAtlas application. It will contain data related to Lithoprobe Lines, NATGAM Spectrometer and Aeromagnetic Survey Indexes data."
f8a31344-f08b-4577-b61c-43c1d879fffa,"This map service provides access to the Geophysical Survey Index datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service provides access to the Geophysical Survey Index datasets shown on the GeoAtlas application. It will contain data related to Lithoprobe Lines, NATGAM Spectrometer and Aeromagnetic Survey Indexes data."
f53892fdfbe4391b74c9295c57984df,"This map service provides access to the Geophysical Survey Index datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service provides access to the Geophysical Survey Index datasets shown on the GeoAtlas application. It will contain data related to Lithoprobe Lines, NATGAM Spectrometer and Aeromagnetic Survey Indexes data."
2477059552f4c7e9b1370a9e94778e7,"ROADSEG contains all the features from HIGHWAY_OFFICIAL, RURAL_ROAD_OFFICIAL and OTHER_ROAD_OFFICIAL. ROADSEG is the Saskatchewan road network data that is being used by NRCAN as National Road Network (NRN). ROADSED data layer has been generated by merging HIGHWAY_OFFICIAL, RURAL_ROAD_OFFICIAL and OTHER_ROAD_OFFICIAL. Unique Identifiers (NID) is associated with each line segment. "NID" National Identifier is used to manage the updates between data producer and data users. ROADSEG data layer is one of the important data table for SURN, NRN, SASK911, CAR, SGI-iHaul and other applications."
01ad3808acd4a9f82fc8b94169ec1e9,"This dataset shows the 1:1 Million scale bedrock geology for the Province of Saskatchewan. Mapping in support of the dataset includes years of field observations which were then compiled at 1:1 Million scale and integrated into this dataset. The data was created as a file geodatabase feature class and output for public distribution. To view or download more datasets from the Saskatchewan Geological Survey, please visit our GeoHub page (https://er-saskatchewan.hub.arcgis.com/pages/saskatchewan-geological-survey) or our Saskatchewan Mining and Petroleum GeoAtlas (https://gisappl.saskatchewan.ca/geoatlas).**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule."
074f6eb1814ef1b033b7a090c93cd3,"HIGHWAY_OFFICIAL consists of provincial and national highways system in Saskatchewan maintained by the Saskatchewan Ministry of Highways and Infrastructure (MHI). This data layer is based on the Linear Reference System (LRS) concepts. KM_FROM and KM_TO fields store the start point and the end point at Kilometer information of the line segment. Unique Identifiers (RoadName & NID) are associated with each line segment. The "RoadName" field carry the unique highway name for each line segment in a control section. "NID" National Identifier is used to manage the updates between data producer and data users. HIGHWAY_OFFICIAL data layer serves as a foundation for SURN, NRN, SASK911, CAR, SGI-iHaul and other applications."
0944b1b994f4593d995500cd740d4,"Primary Weight, Provincial Highways and RM Roads, Clearing the Path Corridors Map.
A map of primary weight provincial highways and RM roads clearing the path corridors."
149c6d0e9f141c8b472433a72978e5d,"BLKPASSAGE_OFFICIAL is one of the important layers for Saskatchewan Upgraded Road Network (SURN) and National Road Network (NRN). The BLKPASSAGE_OFFICIAL provides the information of road blocked passage to clients.
This layer contains data for a structure indicating a physical barrier on a Road Element built to prevent or control further access. BLKPASSAGE_OFFICIAL contains all the blocked passage points in the Saskatchewan. BLKPASSAGE_OFFICIAL is an important part of the Saskatchewan road network dataset. Each point geometry BLKPASSAGE has unique Identifiers (NID). NID National Identifier is used to manage the updates between data producer and data users."
2640f3ecf64e69a317d25cece224d2,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
