HNAP_ATTRIBUTES,FEATURE_ATTRIBUTES,METADATA_SECTION
abstract_other_lang_locale,abstract_other_lang_locale,GMD_MDMETADATA
abstract_other_lang_warning_fr,abstract_other_lang_warning,GMD_MDMETADATA
contact_address,contact_address,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_administrative_area,contact_administrative_area,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_city,contact_city,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_country,contact_country,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_email_other_lang_locale,contact_email_other_lang_locale,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_facsimile,contact_facsimile,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_phone,contact_phone,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_position_other_lang_locale,contact_position_other_lang_locale,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_role,contacts{}.role_code,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_role_en,contacts{}.role,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_position,contacts_position,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_postal_code,contacts_postal_code,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_role_fr,contacts{}.role_fr,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_email,contacts{}.email,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
contact_email_other_lang,contacts{}.email,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
individualName,contacts{}.name,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
data_collection_end_date,data_collection_end_date,GMD_MDMETADATA
data_collection_start_date,data_collection_start_date,GMD_MDMETADATA
dataset_title_other_lang_locale,dataset_title_other_lang_locale,GMD_MDMETADATA
date_created,date_created,GMD_MDMETADATA
date_last_modified,date_last_modified,GMD_MDMETADATA
date_published,date_published,GMD_MDMETADATA
distribution_format_version,distribution_format_version,GMD_DISTRIBUTIONFORMAT
distribution_format,distributionList{}.format,GMD_DISTRIBUTIONFORMAT
east_bound_longitude,east_bound_longitude,GMD_MDMETADATA
graphicoverview_link,graphic_link,GMD_MDMETADATA
file_identifier,id,GMD_MDMETADATA;GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR;GMD_DISTRIBUTIONFORMAT;GMD_KEYWORDS;GMD_REFERENCESYSTEMINFO;GMD_RESOURCEMAINTENANCE;GMD_TOPICCATEGORY;GMD_TRANSFEROPTIONS
iso_topic,iso_topic{}.topic_value,GMD_TOPICCATEGORY
keyword_other_lang_locale,keyword_other_lang_locale,GMD_KEYWORDS
metadata_standard,metadata_standard_version,GMD_MDMETADATA
north_bound_latitude,north_bound_latitude,GMD_MDMETADATA
abstract,notes,GMD_MDMETADATA
abstract_other_lang,notes_fr,GMD_MDMETADATA
online_resource_description,online_resource_description_en,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
online_resource_description_other_lang,online_resource_description_fr,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
online_resource_description_other_lang_locale,online_resource_description_locale,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
online_resource_link,online_resource_link,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
online_resource_protocol,online_resource_protocol,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
status_process_en,progress_code,GMD_MDMETADATA
status_process_code,progress_code_code,GMD_MDMETADATA
status_process_fr,progress_code_fr,GMD_MDMETADATA
p-t_entity,p-t_entity,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
p-t_entity_other_lang,p-t_entity_fr,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
p-t_entity_other_lang_locale,p-t_entity_other_lang_locale,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
p-t_license,p-t_license,GMD_MDMETADATA
p-t_license_other_lang,p-t_license_fr,GMD_MDMETADATA
p-t_license_other_lang_locale,p-t_license_other_lang_locale,GMD_MDMETADATA
update_cycle_en,resource_update_cycle,GMD_RESOURCEMAINTENANCE
update_cycle,resource_update_cycle_code,GMD_RESOURCEMAINTENANCE
update_cycle_fr,resource_update_cycle_fr,GMD_RESOURCEMAINTENANCE
transfer_option_description_format,resources{}.format,GMD_TRANSFEROPTIONS
transfer_option_description_service,resources{}.format_resourceType_en,GMD_TRANSFEROPTIONS
transfer_option_description_service_other_lang,resources{}.format_resourceType_fr,GMD_TRANSFEROPTIONS
transfer_option_name,resources{}.name,GMD_TRANSFEROPTIONS
transfer_option_name_other_lang,resources{}.name_fr,GMD_TRANSFEROPTIONS
transfer_option_protocol,resources{}.protocol,GMD_TRANSFEROPTIONS
transfer_option_url,resources{}.url,GMD_TRANSFEROPTIONS
transfer_option_xlink_role,resources{}.xlink_role,GMD_TRANSFEROPTIONS
sector,sector,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
sector_other_lang,sector,GMD_CONTACT;GMD_CITEDRESPONSIBLEPARTY;GMD_DISTRIBUTOR
transfer_option_description_service_other_lang_locale,service_other_lang_locale,GMD_TRANSFEROPTIONS
south_bound_latitude,south_bound_latitude,GMD_MDMETADATA
spatial_representation_type_en,spatial_representation_type,GMD_MDMETADATA
spatial_representation_type_code,spatial_representation_type_code,GMD_MDMETADATA
spatial_representation_type_fr,spatial_representation_type_fr,GMD_MDMETADATA
projection_name,spatialref_projection_name,GMD_REFERENCESYSTEMINFO
reference_system,spatialref_projection_system,GMD_REFERENCESYSTEMINFO
reference_system_version,spatialref_projection_system_version,GMD_REFERENCESYSTEMINFO
keyword,tags{}.name,GMD_KEYWORDS
keyword_other_lang,tags{}.name_fr,GMD_KEYWORDS
dataset_title,title,GMD_MDMETADATA
dataset_title_other_lang,title_fr,GMD_MDMETADATA
transfer_option_description_language,transfer_option_description_language,GMD_TRANSFEROPTIONS
