TBS_ATTRIBUTES,FEATURE_ATTRIBUTES,SECTION
_res_lang_list,_res_lang_list,ROOT
contact_form_en,contacts{0}.contact_form_en,ROOT
contact_form_fr,contacts{0}.contact_form_fr,ROOT
data_collection_end_date,data_collection_end_date,ROOT
data_collection_start_date,data_collection_start_date,ROOT
date_published,date_published,ROOT
email,contacts{0}.email,ROOT
keyword_en_tag,keyword_en_tag,ROOT
keyword_fr_tag,keyword_fr_tag,ROOT
format,resources{}.format,RESOURCES
format_resourceType_en,resources{}.format_resourceType_en,RESOURCES
id,id,ROOT;RESOURCES
jurisdiction,jurisdiction,ROOT
language_list_fme_variable,transfer_option_description_language_TBS,RESOURCES
metadata_contact_en,publisher,ROOT
metadata_contact_fr,publisher,ROOT
metadata_contact_en_tag,metadata_contact_en_tag,ROOT
metadata_contact_fr_tag,metadata_contact_fr_tag,ROOT
notes_en,notes,ROOT
notes_fr,notes_fr,ROOT
notes_en_tag,notes_en_tag,ROOT
notes_fr_tag,notes_fr_tag,ROOT
org_name,publisher,ROOT
org_title_en_tag,org_title_en_tag,ROOT
org_title_fr_tag,org_title_fr_tag,ROOT
p-t_entity_fr,p-t_entity_fr,ROOT
p-t_entity_en,p-t_entity,ROOT
position_en_tag,position_en_tag,ROOT
position_fr_tag,position_fr_tag,ROOT
position_name_fr,publisher,ROOT
position_name_en,publisher,ROOT
prov_portal_last_modified,date_last_modified,ROOT
resname_fr,resources{}.name_fr,RESOURCES
resname_en,resources{}.name,RESOURCES
resname_en_tag,resname_en_tag,RESOURCES
resname_fr_tag,resname_fr_tag,RESOURCES
source_metadata_date_created,date_created,ROOT
tbs_collection,tbs_collection,ROOT
tbs_hierarchy_level,tbs_hierarchy_level,ROOT
tbs_license_id,tbs_license_id,ROOT
tbs_locale,tbs_locale,ROOT
tbs_imso_approval,tbs_imso_approval,ROOT
tbs_ready_to_publish,tbs_ready_to_publish,ROOT
tbs_responsible_role,tbs_responsible_role,ROOT
tbs_restriction,tbs_restriction,ROOT
tbs_state,tbs_state,ROOT
tbs_type,tbs_type,ROOT
tbs_owner_org_id,tbs_owner_org_id,ROOT
title_fr,title_fr,ROOT
title_en,title,ROOT
title_en_tag,title_en_tag,ROOT
title_fr_tag,title_fr_tag,ROOT
update_frequency_tbs,resource_update_cycle,ROOT
url,resources{}.url,RESOURCES
