Group,Theme,Keywords
Biodiversity,Coral Areas,coral area|polyp
Biodiversity,Sponge Areas,sponge area
Biodiversity,Species at Risk,"species at risk|residence|""seasonal movement""|""movement corridor""|""habitat requirement""|""key habitat area""|critical habitat|recovery habitat|cosewic|protected area"
Biodiversity,Marine Mammals,"marine mammal|""toothed whale""|""baleen whale""|seal|""sea lion""|""cetacean habitat"""
Biodiversity,Ecological Reserves,ecological reserve
,,
Water,Marine Water Quality,water quality|water temperature|water salinity|water pollution|water pollutant|water testing|water monitoring
Water,Shipping Lanes,shipping lane
Water,Aquaculture,aquaculture|aquafarming|fish farming|shrimp farming|oyster farming|mariculture|algaculture|seaweed farming
Water,Bathymetry,bathymetry
Water,Ocean Current,ocean current|thermohaline circulation|gulf stream
Water,Sea Ice Fraction,sea ice fraction|solar radiation
,,
Socio-Economic,Oil & Gas,oil|gas|nalcor
