Inventory CSV,Number of Results
Ontario_Application_results.csv,14
Ontario_Discovering_Update_20180917_results.csv,207
Ontario_Discover_results.csv,36
Ontario_Elevation_results.csv,29
Ontario_Geologyontario_results.csv,828
Ontario_Gisdata_results.csv,430
Ontario_Imagery_results.csv,42
Ontario_Liowarehouse_results.csv,439
Ontario_Maps_results.csv,3
Ontario_Mp3_results.csv,26
Ontario_Non-Commercialuse_results.csv,64
Ontario_OpenData_results.csv,286
Ontario_Publicwebservices_results.csv,13
Ontario_Wms_results.csv,19
Province Total,2436
