original_value,real_value_english
Agriculture,farming
"Arts, music, literature",society
Arts music and literature,society
Economics and industry,economy
Education and training,society,,
geoscientificInformation,geoscientific_information
Government and politics,No Topic
Health and safety,health
History and archaeology,society
Information and communications,No Topic
Labour,No Topic
Language and linguistics,society
Law,No Topic
Military,intelligence_military
Nature and environment,environment
Persons,society
Processes,No Topic
Science and technology,No Topic
Society and culture,society
Transport,transport
