original_value,real_value_english
rzzg-85tb,planningCadastre
d5h8-svc8,location
wubi-4yxj,health
wubi-4yxj,boundaries
uuey-4g2f,environment
uuey-4g2f,inlandWaters
6x3c-dpjq,boundaries
xy5d-xwvz,boundaries
3bjy-ier2,utilitiesCommunication
3bjy-ier2,economy
b94a-civj,economy
b94a-civj,inlandWaters
b94a-civj,biota
b94a-civj,environment
6b9k-gp8j,environment
uxu6-8mmc,utilitiesCommunication
uxu6-8mmc,environment
jg2s-3239,inlandWaters
jg2s-3239,oceans
jg2s-3239,environment
jg2s-3239,geoscientificInformation
nxzc-u9zg,economy
nxzc-u9zg,planningCadastre
j7tu-9cu3,economy
j7tu-9cu3,planningCadastre
fgck-3q53,economy
fgck-3q53,planningCadastre
efvh-czff,health
k3v8-y3a5,biota
k3v8-y3a5,environment
5zbz-b44q,location
6b3t-wrgf,health
6b3t-wrgf,biota
5dff-c385,society
rnin-ez9d,society
fiuj-9ghk,society
9bqr-479n,health
js6t-a99d,location
474s-bajm,boundaries
fs8y-i4zq,location
vc6s-v9py,health
mcij-8iap,location
su5g-fr6f,boundaries
6akw-nues,biota
6akw-nues,economy
6akw-nues,environment
v2ft-66he,inlandWaters
v2ft-66he,oceans
v2ft-66he,environment
kr8u-f6vk,society
kr8u-f6vk,boundaries
t6hf-gbks,boundaries
wjbd-dhzu,economy
wjbd-dhzu,planningCadastre
4es4-7e8z,environment
4es4-7e8z,boundaries
hpqd-nt23,geoscientificInformation
hpqd-nt23,environment
keju-34p8,society
3amk-9pnk,elevation
3amk-9pnk,location
tb6b-ss94,economy
tb6b-ss94,geoscientificInformation
p6is-wfuj,environment
p6is-wfuj,biota
mbs9-56mm,environment
mbs9-56mm,geoscientificInformation
mbs9-56mm,biota
uex7-trhg,boundaries
uex7-trhg,health
y6kx-pxd5,geoscientificInformation
4m9f-xs5a,geoscientificInformation
4m9f-xs5a,economy
e5k7-ya99,environment
e5k7-ya99,biota
