original_value,real_value_english
annual,P1Y
annually,P1Y
as_required,as_needed
asNeeded,as_needed
as needed,as_needed
biannually,P6M
bi-annually,P6M
biennial,P2Y
continuous,continual
continuously,continual
current,continual
daily,P1D
historical,not_planned
one-time,not_planned
once,not_planned
hourly,continual
irregular,irregular
irregularly,irregular
monthly,P1M
never,not_planned
notPlanned,not_planned
notPlanned-unknown,not_planned
on_demand,as_needed
other,unknown
periodically,as_needed
quarterly,P3M
quinquennial,P5Y
semiannual,P6M
semi-annual,P6M
triennial,P3Y
unknown,unknown
weekly,P1W
yearly,P1Y
bi-monthly,P0.5M
archives,not_planned
every 2 weeks,P2W
every 2 months,P2M
every 5 years,P5Y
annually-asneeded,irregular
asneeded-monthly,irregular
annually-monthly,irregular
annually-notplanned,irregular
asneeded-irregular,irregular
annually-quarterly,irregular
asneeded-notplanned-quarterly,irregular
continual,continual
monthly-notplanned,irregular
continual-quarterly,irregular
asneeded-continual-daily,irregular
asneeded-quarterly,irregular
irregular-monthly,irregular
asneeded-notplanned,irregular
annually-monthly-quarterly,irregular
