original_value,real_value_english
utilitiesCommuncation,utilitiesCommunication
Environment,environment
biota,biota
boundaries,boundaries
climatologyMeteorologyAtmosphere,climatologyMeteorologyAtmosphere
economy,economy
elevation,elevation
environment,environment
farming,farming
geoscientificInformation,geoscientificInformation
health,health
imageryBaseMapsEarthCover,imageryBaseMapsEarthCover
intelligenceMilitary,intelligenceMilitary
inlandWaters,inlandWaters
location,location
oceans,oceans
planningCadastre,planningCadastre
society,society
structure,structure
transportation,transportation
utilitiesCommunication,utilitiesCommunication
inlandwaters,inlandWaters
 boundaries,boundaries
 inlandwaters,inlandWaters
