original_value,real_value_english
agriculture,agriculture
arts music literature,arts_music_literature
economics and industry,economics_and_industry
education and training,education_and_training
government and politics,government_and_politics
health and safety,health_and_safety
history and archaeology,history_and_archaeology
information and communications,information_and_communications
labour,labour
language and linguistics,language_and_linguistics
law,law
military,military
nature and environment,nature_and_environment
persons,persons
processes,processes
science and technology,science_and_technology
geoscientificInformation,science_and_technology
society and culture,society_and_culture
transport,transport
arts music and literature,arts_music_literature
