original_value,real_value_english
 boundaries,boundaries
 inlandwaters,inlandWaters
Agriculture,farming
biota,biota
boundaries,boundaries
climatologyMeteorologyAtmosphere,climatologyMeteorologyAtmosphere
economy,economy
Economy and Finance,economy
elevation,elevation
Energy and Natural Resources,utilitiesCommunication
Environment,environment
environment,environment
Environment,environment
farming,farming
geoscientificInformation,geoscientificInformation
health,health
Health and Wellness,health
imageryBaseMapsEarthCover,imageryBaseMapsEarthCover
inlandWaters,inlandWaters
inlandwaters,inlandWaters
intelligenceMilitary,intelligenceMilitary
location,location
oceans,oceans
planningCadastre,planningCadastre
"Roads, Driving and Transport",transportation
"Science, Technology and Innovation",geoscientificInformation
society,society
Society and Communities,society
structure,structure
transportation,transportation
utilitiesCommuncation,utilitiesCommunication
utilitiesCommunication,utilitiesCommunication
